"我國108年各類型新書之電子書零售價格及出版家數","","","",""
"","","","",""
"盤點來源首次變更，無法歷年比較","","","",""
"N","R","R","R","R"
"","種","元新臺幣","元新臺幣","家"
"","0","0","0","0"
"電子圖書類型","種數","價格(平均)","價格(眾數)","廠商家數"
"文學小說","1968","193","59","198"
"商業理財","772","269","245","121"
"藝術設計","370","432","280","67"
"人文史地","586","302","245","109"
"社會科學","469","252","99","129"
"自然科普","162","315","245","64"
"心理勵志","707","234","250","139"
"醫療保健","340","253","245","95"
"飲食","231","303","266","63"
"生活風格","422","237","399","87"
"旅遊","203","263","315","54"
"宗教命理","496","228","50","104"
"親子教養","216","241","266","70"
"童書／青少年文學","476","195","79","75"
"輕小說","1096","148","140","31"
"語言學習","342","227","193","51"
"考試用書","540","388","307","15"
"電腦資訊","186","326","364","26"
"專業／教科書／政府出版品","385","350","315","23"
