"我國各類圖書出口金額","","","",""
"","","","",""
"財政部海關進出口統計資料為「實體」出版品之進出口情況，不包含非實體出版品之「版權、電子出版品（電子書、電子漫畫、電子雜誌等）」等交易。","","","",""
"T","R","R","R","R"
"年(民國)","千元新臺幣","千元新臺幣","千元新臺幣","千元新臺幣"
"","0","0","0","0"
"年度","書籍及類似出版品","字典及百科全書","其他書籍及類似印刷品","兒童圖畫書"
"102","112099","2446","2073046","34744"
"103","108283","852","2160373","33872"
"104","145502","590","2377414","55573"
"105","117991","1027","2533029","909231"
"106","153786","3326","2434219","1390390"
"107","156538","1551","2771485","1415573"
"108","251865","806","2815808","2023621"
"109","484529","3090","2391413","1344470"
