我國歷年年各類型新書之電子書零售價格及出版家數,,,,,
,,,,,
盤點來源首次變更，無法歷年比較,,,,,
O,C,R,R,R,R
,,種,元新臺幣,元新臺幣,家
,,0,0,0,0
年,電子圖書類型,種數,價格(平均),價格(眾數),廠商家數
108,文學小說,1968,193,59,198
108,商業理財,772,269,245,121
108,藝術設計,370,432,280,67
108,人文史地,586,302,245,109
108,社會科學,469,252,99,129
108,自然科普,162,315,245,64
108,心理勵志,707,234,250,139
108,醫療保健,340,253,245,95
108,飲食,231,303,266,63
108,生活風格,422,237,399,87
108,旅遊,203,263,315,54
108,宗教命理,496,228,50,104
108,親子教養,216,241,266,70
108,童書／青少年文學,476,195,79,75
108,輕小說,1096,148,140,31
108,語言學習,342,227,193,51
108,考試用書,540,388,307,15
108,電腦資訊,186,326,364,26
108,專業／教科書／政府出版品,385,350,315,23
109,文學小說,"2,613",203,79,260
109,商業理財,977,261,224,152
109,藝術設計,352,354,315,100
109,人文史地,590,307,266,121
109,社會科學,510,299,266,161
109,自然科普,254,318,294,95
109,心理勵志,675,238,224,122
109,醫療保健,562,261,210,140
109,飲食,204,316,266,64
109,生活風格,319,233,40,104
109,影視偶像,"1,890",124,110,16
109,旅遊,118,256,390,47
109,宗教命理,626,209,266,134
109,親子教養,212,268,266,79
109,童書／青少年文學,911,165,25,111
109,圖文書／繪本,71,285,224,20
109,輕小說,741,137,103,30
109,語言學習,413,341,160,73
109,考試用書,608,308,140,14
109,電腦資訊,202,353,111,27
109,專業／教科書／政府出版品,62,347,356,23
