"我國圖書進口國家分布","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"T","R","R","R","R","R","R","R","R","R"
"年(民國)","%","%","%","%","%","%","%","%","%"
"","0","0","0","0","0","0","0","0","0"
"年度","美國","英國","其他國家","日本","中國大陸","新加坡","香港","韓國","德國"
"103","30.2","22.8","10.7","10.6","9.2","7.2","4.1","2.8","2.4"
"104","29.8","24.7","10.6","10.5","9.2","6.4","4.3","2.6","1.9"
"105","32.3","22.3","10.7","11.5","9.7","4.7","4.2","2.7","1.9"
"106","34","20.2","12","10.8","9.4","3.2","3.6","3.7","3.1"
"107","34.56","22.12","11.44","11.21","8.7","3.14","2.89","3.89","2.05"
"108","33.55","20.79","11.99","11.66","7.57","5.41","3.07","4.35","1.61"
