"我國申請國際標準書號（ISBN）書籍上架率 - 店銷書商品數","","","","","",""
"","","","","","",""
"","","","","","",""
"T","R","R","R","R","R","R"
"年(民國)","種","種","種","種","種","種"
"","0","0","0","0","0","0"
"年度","整體","博客來","誠品","金石堂","三民","新絲路"
"104","20057","19592","18303","18721","-","14513"
"105","19249","17967","16683","17150","18615","-"
"106","19704","18167","16945","17327","19318","-"
"107","20079","18482","17283","18055","19673","-"
"108","21091","18421","17889","17365","20175","-"
"109","18737","16566","16812","16825","18134","-"
