"我國申請國際標準書號（ISBN）書籍上架率 - 整體商品數","","","","","",""
"","","","","","",""
"","","","","","",""
"T","R","R","R","R","R","R"
"年(民國)","種","種","種","種","種","種"
"","0","0","0","0","0","0"
"年度","整體","博客來","誠品","金石堂","三民","新絲路"
"104","24916","24120","21060","22560","-","15420"
"105","23666","22047","19131","20612","22605","-"
"106","24423","22327","19609","21084","23493","-"
"107","24330","22331","19946","21380","23549","-"
"108","25397","22112","20448","19909","24075","-"
"109","23243","20175","19902","20057","21887","-"
