"我國紙本店銷雜誌之創刊時間分布",""
"",""
"不含特刊、過刊重出版、不定期出刊之雜誌。",""
"T","R"
"年(民國)","種"
"","0"
"年度","種數"
"22","1"
"25","1"
"35","1"
"39","1"
"43","3"
"46","1"
"51","1"
"53","2"
"54","2"
"55","1"
"56","1"
"57","1"
"62","2"
"63","2"
"64","4"
"65","4"
"66","2"
"67","1"
"68","1"
"69","5"
"70","6"
"71","2"
"72","4"
"73","6"
"74","5"
"75","6"
"76","7"
"77","4"
"78","5"
"79","5"
"80","4"
"81","4"
"82","4"
"83","6"
"84","5"
"85","7"
"86","12"
"87","5"
"88","8"
"89","6"
"90","13"
"91","11"
"92","10"
"93","13"
"94","12"
"95","11"
"96","11"
"97","12"
"98","16"
"99","16"
"100","16"
"101","17"
"102","18"
"103","13"
"104","14"
"105","11"
"106","23"
"107","8"
"108","10"
