"我國紙本雜誌出刊頻率之出版種數","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"T","R","R","R","R","R","R","R","R","R","R","R","R"
"年(民國)","種","種","種","種","種","種","種","種","種","種","種","種"
"","0","0","0","0","0","0","0","0","0","0","0","0"
"年度","週刊","雙週刊","半月刊","月刊","雙月刊","季刊","一年三期","半年刊","年刊","不定期","特刊","過刊重出版"
"105","20","15","1","280","112","112","2","45","28","6","19","13"
"106","15","15","0","250","95","113","1","120","40","28","333","14"
"107","19","16","0","243","80","86","0","16","19","6","406","55"
"108","14","11","0","221","67","67","0","7","17","2","370","31"
