"近年漫畫行銷通路進書及銷售折扣","","","","","",""
"","","","","","",""
"1.「銷售折扣」為整體圖書銷售折扣之平均、「銷售最佳折扣」為銷售情況最好的折扣數。
2. 圖書 104年N=242；105年N=181；106年N=174；107年N=223；108年N=289
3. 雜誌 104年N=242；105年N=181；106年N=174；107年N=145；108年N=172
4. 漫畫 104年N=242；105年N=181；106年N=132；107年N=101；108年N=157","","","","","",""
"T","C","N","I","I","",""
"年(民國)","","","折","折","",""
"","","","0","0","",""
"年度","分類","項目","折扣眾數","折扣平均數","",""
"104","圖書","進書折扣","7.0","6.8","",""
"104","圖書","銷售折扣","9.0","8.2","",""
"104","圖書","銷售最佳折扣","7.9","7.4","",""
"104","雜誌","進書折扣","8.0","7.4","",""
"104","雜誌","銷售折扣","9.0","8.2","","補N"
"104","雜誌","銷售最佳折扣","9.0","7.8","",""
"104","漫畫","進書折扣","7.5","6.5","",""
"104","漫畫","銷售折扣","9.0","7.5","",""
"104","漫畫","銷售最佳折扣","9.0","7.0","",""
"105","圖書","進書折扣","7.0","6.6","",""
"105","圖書","銷售折扣","9.0","8.4","",""
"105","圖書","銷售最佳折扣","7.9","7.5","",""
"105","雜誌","進書折扣","8.0","7.3","",""
"105","雜誌","銷售折扣","9.0","8.5","",""
"105","雜誌","銷售最佳折扣","9.0","8.4","",""
"105","漫畫","進書折扣","7.5","6.8","",""
"105","漫畫","銷售折扣","9.0","8.3","",""
"105","漫畫","銷售最佳折扣","9.0","8.0","",""
"106","圖書","進書折扣","7.0","6.7","",""
"106","圖書","銷售折扣","9.0","8.5","",""
"106","圖書","銷售最佳折扣","9.0","8.2","",""
"106","雜誌","進書折扣","7.0","7.1","",""
"106","雜誌","銷售折扣","9.0","9.1","",""
"106","雜誌","銷售最佳折扣","9.0","8.8","",""
"106","漫畫","進書折扣","7.0","6.8","",""
"106","漫畫","銷售折扣","9.0","8.6","",""
"106","漫畫","銷售最佳折扣","9.0","8.3","",""
"107","圖書","進書折扣","7.0","6.7","",""
"107","圖書","銷售折扣","9.0","8.6","",""
"107","圖書","銷售最佳折扣","9.0","8.2","",""
"107","雜誌","進書折扣","8.0","7.3","",""
"107","雜誌","銷售折扣","9.0","8.8","",""
"107","雜誌","銷售最佳折扣","9.0","8.6","",""
"107","漫畫","進書折扣","7.5","7.3","",""
"107","漫畫","銷售折扣","9.0","8.6","",""
"107","漫畫","銷售最佳折扣","9.0","8.4","",""
"108","圖書","進書折扣","7.0","6.6","",""
"108","圖書","銷售折扣","9.0","8.5","",""
"108","圖書","銷售最佳折扣","7.9","8.2","",""
"108","雜誌","進書折扣","8.0","7.4","",""
"108","雜誌","銷售折扣","9.0","8.8","",""
"108","雜誌","銷售最佳折扣","9.0","8.8","",""
"108","漫畫","進書折扣","7.5","7.1","",""
"108","漫畫","銷售折扣","9.0","8.7","",""
"108","漫畫","銷售最佳折扣","9.0","8.7","",""
"109","圖書","進書折扣","7","6.7","",""
"109","圖書","銷售折扣","9","8.3","",""
"109","圖書","銷售最佳折扣","9","8","",""
"109","雜誌","進書折扣","8","7.4","",""
"109","雜誌","銷售折扣","9","9.3","",""
"109","雜誌","銷售最佳折扣","9","8.3","",""
"109","漫畫","進書折扣","7.5","7.2","",""
"109","漫畫","銷售折扣","9","8.5","",""
"109","漫畫","銷售最佳折扣","9","8.3","",""
