"108年非本國作者作品（翻譯書）來源國","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"T","C","R","R","R","R","R","R","R","R"
"年(民國)","","本","本","本","本","本","本","本","本"
"","","0","0","0","0","0","0","0","0"
"年度","分類","日本","美國","中國大陸","英國","韓國","法國","德國","其它國家"
"104","整體","4615","1662","1151","544","357","230","117","733"
"104","店銷書","3834","1326","808","460","272","179","101","235"
"105","整體","4248","1839","977","600","412","237","128","325"
"105","店銷書","4218","1720","961","591","409","235","123","324"
"106","整體","3989","1726","1247","568","489","235","134","469"
"106","店銷書","3971","1620","1240","557","487","233","126","461"
"107","整體","4410","1694","920","521","371","251","138","361"
"107","店銷書","4379","1602","904","512","368","249","131","351"
"108","整體","4676","1835","690","719","411","262","170","400"
"108","店銷書","4584","1702","667","686","402","248","162","380"
