"2003～2019年臺灣電視電影動畫題材與跨IP轉譯延伸概況","","","","",""
"","","","","",""
"資料來源：台灣經濟研究院盤點整理。","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"2003～2019年臺灣電視電影動畫題材與跨IP轉譯延伸概況","","","","",""
"類別","年份","作品名","題材來源/前文本","IP延伸","角色"
"系列動畫","","","","",""
"原創動畫","2019年","德哥與皮皮","原創劇本","","德哥、皮皮"
"","2019年","FOOD超人 第二季","原創劇本","繪本","FOOD超人、粽博士、蒼蠅王"
"改編動畫","2019年","機甲英雄機鬥勇者","遊戲機臺","","里昂、茉莉、羅布、巴克斯"
"","2019年","小兒子 第二季","小說改編","動畫","小兒子、駱爸"
"","","","","繪本",""
"","","","","主題書店",""
"","","","","舞臺劇",""
"科普教育動畫","2019年","台灣史！不能只有我看到","原創劇本","",""
"","2019年","海精靈馬努依","原創劇本","",""
"動畫長片、短片","","","","",""
"動畫長片、短片","2019年","貓影特工","原創劇本","","巴狄、卡利、凱西、毛球、八角"
"","2019年","重甲機神：神降臨","原創劇本","","雷鳴海、苗天音"
"","2019年","金魚","同名漫畫改編","",""
"","2019年","Thunderbolt Fantasy 西幽玹歌","《Thunderbolt Fantasy 》改編","","浪巫謠、睦天命、嘲風"
"","2019年","樹人大冒險","原創劇本","",""
"","2019年","金星人愛情故事","原創劇本","","小夏、天晴、小t、Lala"
"資料來源：台灣經濟研究院盤點整理。","","","","",""
