"103-110年各國動畫片在臺平均觀影人次","","","","","","","","",""
"","","","","","","","","",""
"1. 本研究定義之動畫片包含單集60分鐘以上之動畫長片，如偶動畫、試映會播映；以及60分鐘以內之動畫短片。
2. 本資料僅盤點當年度全新上映之動畫長片（含試映會），2018年動畫片含《幸福路上》與試映會播映之《阿卡的冒險：光子的秘密》。
資料來源：2014～2016年以前採用臺北市影片商業同業公會之資料、2017年以後採用國影中心電影票房數據。","","","","","","","","",""
"T","R","R","R","R","R","R","R","R","R"
"年(民國)","人次","人次","人次","人次","人次","人次","人次","人次","人次"
"","0","0","0","0","0","0","0","0","0"
"年度","臺灣","日本","法國","美國","英國","韓國","德國","其他","平均"
"103","6439","8559","5105","43448.3","10668.5","-","-","2198","17315.7"
"104","21756","11634.4","119228","128112.4","4304","-","-","1148","41765.02"
"105","-","29215.48","-","100208.5","-","987","-","-","58364.42"
"106","9438.67","43242.94","15688","273047.7","-","-","-","-","91444.71"
"107","32536","20099.58","6248","144526.63","4115","8526","-","1405","50324.77"
"108","9501","46596.47","105065","340292.07","-","100","3322","647","100875.84"
"109","-","189093","25014","170796","","48195","49648","-","165574"
"110","10275","26526","504","100955","4538","8136","11121","7449","35308"
