"104-108年臺灣原創動畫作品製作平均製作人力與比重","","","","","","","",""
"","","","","","","","",""
"由於我國系列動畫以及動畫長片每年產出數量不多，故平均人數以2015～2019年之作品數量呈現。
資料來源：台灣經濟研究院盤點自系列動畫、動畫長片作品卡司表。","","","","","","","",""
"N","I","I","I","I","I","I","I","I"
"","人","人","人","人","%","%","%","%"
"","","","","","","","",""
"分類","系列動畫平均人數","動畫長片平均人數","系列動畫平均人數(2019)","動畫長片平均人數(2019)","系列動畫人數占比","動畫長片人數占比","系列動畫人數占比(2019)","動畫長片人數占比(2019)"
"導演","1.6","3.13","1.8","3.5","2.74","1.5","4.25","5.9799999999999995"
"製片","3.28","14.14","2.6","2","5.050000000000001","5.949999999999999","6.13","1.71"
"攝影/構圖","-","5.5","0","2","-","1.32","0","1.71"
"燈光","6.14","24","4","0","3.6799999999999997","4.33","3.7699999999999996","0"
"音效","2.59","7.71","1.5","3","3.7699999999999996","3.25","2.83","2.56"
"特效","2.89","15.8","3","0","2.23","4.75","2.83","0"
"美術","9.82","31.63","8","14.5","14.299999999999999","15.21","11.32","24.79"
"建模師","7.1","22.43","4.67","1","6.08","9.44","6.6000000000000005","0.8500000000000001"
"編劇","3.22","3.57","2","2","4.97","1.5","3.7699999999999996","3.42"
"剪接","1.46","4","1.25","0","1.63","1.44","2.36","0"
"分鏡","3.21","5.5","2.25","2","3.85","2.65","4.25","3.42"
"動畫製作","11","29.13","7.4","15.5","18.84","14.01","17.45","26.5"
"後製","5.79","24.57","2.33","4.5","6.93","10.34","3.3000000000000003","7.6899999999999995"
"行銷","1.67","8.25","0","0","0.43","1.9800000000000002","0","0"
"前置","4.57","20","4.5","3.5","2.74","6.01","4.25","5.9799999999999995"
"配音","7.69","17.29","5.6","16","10.530000000000001","7.28","13.209999999999999","13.68"
"行政人員","4.86","17.86","2.67","2","5.82","7.5200000000000005","3.7699999999999996","1.71"
"音樂","4.24","6","4.2","0","6.16","1.7999999999999998","9.91","0"
"整體","58.4","207.88","42.4","58.5","-","-","-","-"
