"104-109年臺灣動畫數量與內容長度","","","",""
"","","","",""
"1. 本研究定義之動畫短片包含單集60分鐘以內之偶動畫、試映會播映之動畫片；短影音動畫片定義為低於五分鐘之動畫片。
2. 此處動畫短片不包含政府宣導短片、商業性質動畫以及音樂MV動畫。
3. 本研究定義之動畫長片包含單集60分鐘以上之偶動畫、試映會播映之動畫片，如2017年的《THUNDERBLOT FANTASY生死一劍》、2018年《阿卡的冒險：光子的秘密》、2019年《Thunderbolt Fantasy 西幽玹歌》。
4. 部分動畫作品查無相關資料，平均長度將不列入計算
資料來源：台灣經濟研究院盤點整理。","","","",""
"T","C","C","R","R"
"年(民國)","","","部","分鐘"
"","","","0","0"
"年度","分類","子分類","部數","長度"
"104","系列動畫","系列動畫","4","1440"
"104","動畫長片","動畫長片","1","207"
"104","動畫短片","5~60分鐘動畫","132","779"
"104","動畫短片","短影音動畫","441","385"
"105","系列動畫","系列動畫","6","342"
"105","動畫長片","動畫長片","0","-"
"105","動畫短片","5~60分鐘動畫","180","1306"
"105","動畫短片","短影音動畫","527","647"
"106","系列動畫","系列動畫","4","727"
"106","動畫長片","動畫長片","3","243"
"106","動畫短片","5~60分鐘動畫","396","3734"
"106","動畫短片","短影音動畫","548","837"
"107","系列動畫","系列動畫","4","549"
"107","動畫長片","動畫長片","2","175"
"107","動畫短片","5~60分鐘動畫","145","727"
"107","動畫短片","短影音動畫","351","611"
"108","系列動畫","系列動畫","6","553"
"108","動畫長片","動畫長片","3","274"
"108","動畫短片","5~60分鐘動畫","246","1816"
"108","動畫短片","短影音動畫","1046","1607"
"109","系列動畫","系列動畫","6","385"
"109","動畫長片","動畫長片","0","0"
"109","動畫短片","5~60分鐘動畫","250","1995"
"109","動畫短片","短影音動畫","442","1246"
