"106-108年動畫作品授權情形","","","","","","","",""
"","","","","","","","",""
"資料來源：台灣經濟研究院整理自問卷調查回收。","","","","","","","",""
"T","R","R","R","R","R","R","R","R"
"年(民國)","%","%","%","%","%","%","%","%"
"","0","0","0","0","0","0","0","0"
"年度","改編為遊戲","改編為漫畫","改編為影視作品","角色授權到遊戲","角色授權到漫畫","角色授權到其他動畫","其他角色授權","其他"
"106","8.3","0","8.3","16.7","0","8.3","50","8.3"
"107","7.1","14.299999999999999","7.1","14.299999999999999","14.299999999999999","7.1","35.699999999999996","0"
"108","8.33","9.09","9.09","16.669999999999998","22.220000000000002","20","40","40"
