"106-110年臺灣原創動畫作品製作平均製作人力與比重","","","",""
"","","","",""
"由於我國系列動畫以及動畫長片每年產出數量不多，故平均人數以2015～2019年之作品數量呈現。
資料來源：台灣經濟研究院盤點自系列動畫、動畫長片作品卡司表。","","","",""
"N","I","I","I","I"
"","人","人","%","%"
"","","","",""
"分類","系列動畫平均人數","動畫長片平均人數","系列動畫人數占比","動畫長片人數占比"
"導演","1.67","2.88","2.46","1.82"
"製片","3.83","11.29","5.67","6.25"
"攝影","-","4","0","1.27"
"燈光","3.93","19.98","3.39","5.7"
"音效","2.68","6.57","3.63","3.64"
"特效","2.65","9.4","2.77","3.72"
"建模師","6.56","13.86","7.27","7.68"
"美術","13.25","20.75","16.69","13.14"
"編劇","3","2.57","4.06","1.43"
"剪接","1.43","2.83","1.85","1.35"
"分鏡","3.15","6.13","3.88","3.88"
"動畫製作","10.29","26.5","16.32","16.79"
"後製","6.15","15","6.1","8.31"
"行銷","4.36","10.25","2.96","3.25"
"前置","2.27","7.4","1.85","2.93"
"配音","7.05","16","9.54","8.87"
"行政人員","4.47","9.71","5.23","5.38"
"音樂","3.75","10.6","5.54","4.99"
