"109年動畫代工、特效業收入結構","",""
"","",""
"1. 其他內容包含電視節目、網路新媒體、音樂MV、廣告等。
2. 版權銷售收入包含電視、DVD、航空等，不含數位新媒體
3. 網路數位發行之相關收入包含新媒體版權、新媒體廣告分潤、新媒體訂戶費用等
資料來源：台灣經濟研究院整理自問卷調查回收。","",""
"N","R","R"
"","%","%"
"","0","0"
"項目","動畫代工業","動畫特效業"
"電影票房分成","0","0"
"版權銷售收入","2.2813688212927756","1.7543859649122806"
"新媒體版權及衍生收入","1.1406844106463878","1.7543859649122806"
"發行及代理發行收入","4.182509505703422","0"
"內容後製、特效收入","47.68060836501901","56.14035087719298"
"動畫內容代工收入","36.958174904942965","31.403508771929822"
"影視相關設備器材或場地租賃收入","4.182509505703422","4.824561403508771"
"置入性行銷、贊助收入","0","0"
"其他收入","3.574144486692015","4.12280701754386"
