103-109年各類型電臺不同語言別播放比重,,,,,,,,
,,,,,,,,
資料來源：NCC提供之無線廣播電臺播放節目時數,,,,,,,,
T,C,R,R,R,R,R,R,R
年(民國),,%,%,%,%,%,%,%
,,0,0,0,0,0,0,0
年度,電臺別,國語,台語,客語,原住民語,本國其他方言,英語,其他外國語言
103,大功率電臺,15.95%,76.47%,0.41%,0.91%,0.00%,5.73%,0.52%
103,中功率電臺（聯播網）,52.96%,33.84%,8.13%,2.50%,0.10%,1.88%,0.59%
103,中功率電臺（非聯播網）,43.57%,54.71%,0.32%,0.28%,0.22%,0.74%,0.15%
103,小功率電臺（聯播網）,51.53%,39.56%,5.18%,0.31%,0.00%,2.82%,0.60%
103,小功率電臺（非聯播網）,12.44%,79.69%,4.57%,3.12%,0.00%,0.12%,0.07%
103,調幅電臺,4.70%,94.85%,0.15%,0.06%,0.00%,0.10%,0.14%
103,公營電臺,74.94%,6.61%,2.78%,2.21%,0.00%,3.06%,10.39%
104,大功率電臺,22.71%,71.02%,0.46%,0.15%,0.00%,4.70%,0.96%
104,中功率電臺（聯播網）,52.89%,33.87%,8.24%,2.45%,0.00%,1.90%,0.66%
104,中功率電臺（非聯播網）,41.69%,55.98%,0.29%,0.60%,0.33%,0.93%,0.19%
104,小功率電臺（聯播網）,49.45%,42.31%,5.11%,0.19%,0.00%,2.28%,0.66%
104,小功率電臺（非聯播網）,12.26%,81.34%,3.56%,2.76%,0.00%,0.03%,0.04%
104,調幅電臺,16.42%,83.10%,0.15%,0.06%,0.00%,0.10%,0.16%
104,公營電臺,76.19%,6.17%,2.50%,1.55%,0.06%,2.82%,10.71%
105,大功率電臺,20.50%,72.99%,0.48%,0.20%,0.02%,4.87%,0.95%
105,中功率電臺（聯播網）,52.26%,32.88%,8.35%,2.51%,1.64%,1.78%,0.57%
105,中功率電臺（非聯播網）,39.29%,58.65%,0.39%,0.27%,0.35%,0.82%,0.22%
105,小功率電臺（聯播網）,49.72%,41.72%,5.31%,0.19%,0.06%,2.28%,0.71%
105,小功率電臺（非聯播網）,10.70%,83.51%,3.79%,1.81%,0.00%,0.03%,0.15%
105,調幅電臺,4.61%,94.92%,0.18%,0.00%,0.00%,0.10%,0.19%
105,公營電臺,83.04%,8.97%,1.39%,1.07%,0.20%,1.40%,3.94%
106,大功率電臺,18.81%,75.37%,0.37%,0.22%,0.02%,4.60%,0.60%
106,中功率電臺（聯播網）,25.63%,12.71%,58.61%,1.04%,0.00%,0.93%,1.08%
106,中功率電臺（非聯播網）,38.95%,59.09%,0.35%,0.20%,0.35%,0.82%,0.24%
106,小功率電臺（聯播網）,51.62%,41.74%,5.18%,0.20%,0.01%,0.80%,0.44%
106,小功率電臺（非聯播網）,4.79%,93.85%,0.85%,0.47%,0.00%,0.01%,0.02%
106,調幅電臺,3.98%,95.63%,0.14%,0.02%,0.00%,0.03%,0.18%
106,公營電臺,72.83%,9.31%,5.11%,2.40%,0.36%,2.72%,7.26%
107,大功率電臺,19.70%,75.56%,0.14%,0.02%,0.02%,4.11%,0.45%
107,中功率電臺（聯播網）,51.07%,35.82%,8.16%,2.86%,0.00%,1.32%,0.78%
107,中功率電臺（非聯播網）,38.71%,59.39%,0.31%,0.18%,0.35%,0.81%,0.24%
107,小功率電臺（聯播網）,46.95%,48.87%,2.74%,0.19%,0.00%,0.79%,0.46%
107,小功率電臺（非聯播網）,5.22%,92.52%,1.41%,0.80%,0.00%,0.01%,0.03%
107,調幅電臺,4.35%,95.24%,0.16%,0.03%,0.00%,0.03%,0.19%
107,公營電臺,73.41%,4.43%,6.82%,4.81%,0.45%,3.11%,6.97%
108,大功率電臺,19.12%,76.12%,0.15%,0.01%,0.02%,4.12%,0.46%
108,中功率電臺（聯播網）,48.33%,37.98%,8.55%,2.83%,0.00%,1.61%,0.69%
108,中功率電臺（非聯播網）,39.04%,59.38%,0.35%,0.20%,0.35%,0.46%,0.22%
108,小功率電臺（聯播網）,47.48%,45.61%,5.34%,0.20%,0.00%,1.06%,0.31%
108,小功率電臺（非聯播網）,11.36%,83.31%,3.03%,2.20%,0.00%,0.00%,0.10%
108,調幅電臺,5.33%,94.18%,0.19%,0.09%,0.00%,0.02%,0.19%
108,公營電臺,73.39%,5.68%,6.75%,4.17%,0.42%,4.22%,5.36%
109,大功率電臺,19.06%,76.20%,0.15%,0.02%,0.02%,4.10%,0.45%
109,中功率電臺（聯播網）,46.29%,42.09%,7.96%,2.77%,0%,0.70%,0.20%
109,中功率電臺（非聯播網）,39.87%,58.49%,0.29%,0.26%,0.42%,0.45%,0.22%
109,小功率電臺（聯播網）,47.46%,45.78%,5.29%,0.20%,0.11%,1.03%,0.12%
109,小功率電臺（非聯播網）,11.47%,83.29%,2.94%,2.15%,0.03%,0%,0.12%
109,調幅電臺,5.02%,94.54%,0.17%,0.06%,0%,0.02%,0.18%
109,公營電臺,72.94%,6.22%,6.55%,3.38%,0.45%,4.42%,6.04%
