"103-110年各節目語言別播放時數","","","","","","",""
"","","","","","","",""
"資料來源：NCC提供之無線廣播電臺播放節目時數","","","","","","",""
"T","R","R","R","R","R","R","R"
"年(民國)","%","%","%","%","%","%","%"
"","0","0","0","0","0","0","0"
"年度","國語","台語","客語","原住民語","本國其他方言","英語","其他外國語言"
"103","38.03","53.339999999999996","3.61","1.46","0.05","1.8599999999999999","1.66"
"104","38.72","53.28000000000001","3.36","1.24","0.05","1.71","1.6500000000000001"
"105","43.54","49.24","3.1","1","0.33999999999999997","1.49","1.29"
"106","23.080000000000002","58.96","15.409999999999998","0.6799999999999999","0.06","0.83","0.98"
"107","28.610000000000003","65.36999999999999","2.75","1.21","0.08","1.02","0.96"
"108","35.480000000000004","56.620000000000005","3.8699999999999997","1.47","0.1","1.48","0.97"
"109","34.99","57.5","3.75","1.39","0.13","1.32","0.92"
"110","33.59","59.02","3.66","1.37","0.13","1.29","0.94"
