108年各類型廣播電臺分類,,
,,
"[1] 中廣除流行網及音樂網等全區調頻頻道外，尚有全區調幅新聞網等頻道。                                                
[2] ICRT為大功率電臺。                                                
[3] 台廣為調幅跨區電臺，服務地區含南投縣、臺中市、新竹市、臺北市。但實際營運以分臺為主。                                                
[4] 正聲為調幅的跨區電臺，服務地區包含臺北市、臺北地區、宜蘭地區、雲林地區、臺東地區、高雄地區、嘉義地區、臺中地區；另外正聲臺北臺為中功率調頻電臺。但實際營運以分臺為主。                                                
[5] 2017年起，新營之聲公司登記名稱改為臺南線上，新竹勞工公司登記名稱改為心動廣播。                                                """,,
C,N,R
,,
,,
類型,電臺名,數量
公營電臺,內政部警政署警察廣播電臺（大功率）,1
公營電臺,國立教育廣播電臺（大功率）,1
公營電臺,漢聲廣播電臺（國防部心理作戰大隊）（大功率）,1
公營電臺,復興廣播電臺（大功率）,1
公營電臺,行政院農業委員會漁業署漁業廣播電臺（大功率）,1
公營電臺,臺北廣播電臺（大功率）,1
公營電臺,高雄廣播電臺（大功率）,1
公營電臺,財團法人中央廣播電臺（海外短波）,1
公營電臺,講客廣播電臺（客家委員會）（大功率）,1
公營電臺,財團法人原住民族文化事業基金會（大功率）,1
調幅電臺,中華,1
調幅電臺,天南,1
調幅電臺,天聲,1
調幅電臺,民本,1
調幅電臺,民立,1
調幅電臺,先聲,1
調幅電臺,成功,1
調幅電臺,建國,1
調幅電臺,電聲,1
調幅電臺,益世,1
調幅電臺,國聲,1
調幅電臺,基隆,1
調幅電臺,勝利之聲,1
調幅電臺,華聲,1
調幅電臺,鳳鳴,1
調幅電臺,燕聲,1
調幅電臺,福興,1
跨區及大功率電臺,中廣,1
跨區及大功率電臺,ICRT（財團法人台北國際社區文化基金會）,1
跨區及大功率電臺,台廣,1
跨區及大功率電臺,正聲,1
中功率電臺,人人,1
中功率電臺,大千,1
中功率電臺,大地之聲,1
中功率電臺,大苗栗,1
中功率電臺,大眾,1
中功率電臺,大漢之音,1
中功率電臺,天天,1
中功率電臺,太武之春,1
中功率電臺,主人,1
中功率電臺,冬山河,1
中功率電臺,古都,1
中功率電臺,台中,1
中功率電臺,台北之音,1
中功率電臺,台北愛樂,1
中功率電臺,台南知音,1
中功率電臺,台灣全民廣播,1
中功率電臺,台灣聲音,1
中功率電臺,正港,1
中功率電臺,全國,1
中功率電臺,好家庭,1
中功率電臺,竹科,1
中功率電臺,快樂,1
中功率電臺,每日,1
中功率電臺,亞洲,1
中功率電臺,宜蘭中山,1
中功率電臺,東方,1
中功率電臺,東臺灣,1
中功率電臺,東民,1
中功率電臺,金聲,1
中功率電臺,青山,1
中功率電臺,青春,1
中功率電臺,非凡音,1
中功率電臺,南臺灣之聲,1
中功率電臺,南投,1
中功率電臺,城市,1
中功率電臺,指南,1
中功率電臺,省都,1
中功率電臺,飛碟,1
中功率電臺,桃園,1
中功率電臺,神農,1
中功率電臺,澎湖社區(財),1
中功率電臺,寶島客家(財),1
中功率電臺,蘭嶼(財),1
中功率電臺,高屏溪,1
中功率電臺,連花,1
中功率電臺,凱旋,1
中功率電臺,港都,1
中功率電臺,陽光,1
中功率電臺,雲嘉,1
中功率電臺,愛苗,1
中功率電臺,新客家,1
中功率電臺,新聲,1
中功率電臺,嘉義環球調頻,1
中功率電臺,嘉樂,1
中功率電臺,綠色和平,1
中功率電臺,領袖,1
中功率電臺,澎湖,1
中功率電臺,噶瑪蘭,1
中功率電臺,環宇,1
中功率電臺,寶島新聲,1
中功率電臺,寶島,1
中功率電臺,蘭陽,1
中功率電臺,歡喜之聲,1
中功率電臺,歡樂,1
中功率電臺,靉友之聲調頻,1
中功率電臺,幸福廣播事業股份有限公司,1
中功率電臺,大金廣播事業股份有限公司,1
中功率電臺,國際廣播事業股份有限公司,1
中功率電臺,北台灣之聲廣播事業股份有限公司,1
小功率電臺,人生廣播,1
小功率電臺,下港之聲放送頭,1
小功率電臺,大武山,1
小功率電臺,好聽(原大新竹),1
小功率電臺,大溪,1
小功率電臺,大樹下,1
小功率電臺,大寶桑,1
小功率電臺,山城,1
小功率電臺,山海屯青少年之聲,1
小功率電臺,中台灣,1
小功率電臺,中原,1
小功率電臺,中部調頻,1
小功率電臺,太平洋之聲,1
小功率電臺,太陽,1
小功率電臺,心動廣播,1
小功率電臺,北回,1
小功率電臺,北部調頻,1
小功率電臺,台北流行,1
小功率電臺,台東之聲,1
小功率電臺,台南之聲,1
小功率電臺,民生之聲,1
小功率電臺,全球之聲,1
小功率電臺,全景社區,1
小功率電臺,合歡山廣播,1
小功率電臺,竹塹廣播,1
小功率電臺,自由之聲,1
小功率電臺,亞太廣播,1
小功率電臺,奇峰廣播,1
