"109年各類型電臺目標聽眾-工作性質","","","","","","",""
"","","","","","","",""
"資料來源：本研究問卷調查整理(N=96)","","","","","","",""
"N","R","R","R","R","R","R","R"
"","%","%","%","%","%","%","%"
"","0","0","0","0","0","0","0"
"類別","學生","工作男性者(內勤工作者)","工作男性者(開車族)","有工作的女性","家庭主婦","沒有工作/退休","無設定"
"跨區及大功率","0","0","100","0","100","100","0"
"小功率(無)","0","9.52","28.57","19.05","38.1","28.57","42.86"
"小功率(聯)","0","36","48","32","24","20","20"
"中功率(無)","8.33","0","66.67","25","33.33","33.33","50"
"中功率(聯)","10","60","65","45","30","15","10"
"公營","16.67","16.67","16.67","0","0","16.67","66.67"
"調幅","0","9.09","36.36","36.36","90.91","100","18.18"
