"109年各類型電臺目標聽眾-年齡層","","","","","","","","",""
"","","","","","","","","",""
"（無）為非聯播網；（聯）為聯播網。
資料來源：本研究問卷調查整理(N=96)","","","","","","","","",""
"N","R","R","R","R","R","R","R","R","R"
"","%","%","%","%","%","%","%","%","%"
"","0","0","0","0","0","0","0","0","0"
"電臺類型","15歲以下","16~19歲","20~29歲","30~39歲","40~49歲","50~59歲","60~64歲","65歲以上","無設定"
"跨區及大功率","0","0","0","0","100","100","100","0","0"
"小功率(無)","0","0","0","4.76","19.05","57.14","52.38","47.62","28.57"
"小功率(聯)","0","0","12","32","44","56","36","28","4"
"中功率(無)","0","0","16.67","25","58.33","58.33","50","8.33","25"
"中功率(聯)","0","0","20","45","65","60","30","10","0"
"公營","0","0","0","50","50","66.67","16.67","0","50"
"調幅","0","0","0","0","9.09","90.91","100","90.91","9.09"
