"109年廣播電臺提供合法網路收聽服務路徑","","","","","","","",""
"","","","","","","","",""
"資料來源：本研究問卷調查整理(N=60)","","","","","","","",""
"N","R","R","R","R","R","R","R","R"
"","%","%","%","%","%","%","%","%"
"","0","0","0","0","0","0","0","0"
"分類","網路串流服務如Hichannel","網路串流直播如YouTube頻道、Facebook","與網路播音電台合作(如銀河電台、學校實驗性電台等)","Podcast服務","手機集成APP(如TuneIn、myTuner Radio)","手機專屬電台(或聯播網)APP","其他",""
"整體","48.33","70","1.67","28.33","28.33","45","8.33",""
"跨區及大功率","100","100","0","100","0","100","0",""
"小功率(無)","40","60","0","10","20","10","0",""
"小功率(聯)","41.67","66.67","0","16.67","41.67","66.67","0",""
"中功率(無)","87.5","75","12.5","25","12.5","37.5","25",""
"中功率(聯)","50","72.22","0","44.44","33.33","55.56","0",""
"公營","50","66.67","0","50","33.33","50","50",""
"調幅","0","80","0","0","20","20","0",""
