109年聯播網的電臺群資訊,,
,,
"[1] 參考網址：http://www.apple-line.com/                                                                
[2] 原稱Apple Line蘋果線上，與青春線上為同集團下之聯播網。                                                                
[3] 參考網址：http://www.hitoradio.com/newweb/info.php                                                                
[4] 參考網址：http://www.pop917.com/home.aspx                                                                
[5] 參考網址：http://www.bestradio.com.tw/                                                                
[6] 參考網址：http://www.family977.com.tw/index.php                                                                
[7] 參考網址：http://www.happyradio.com.tw/                                                                
[8] 參考網址：https://www.asiafm.com.tw/                                                                
[9] 參考網址：http://www.goodnews.org.tw/indexpc.php                                                                
[10] 參考網址：http://www.cityfm.tw/                                                                
[11] 參考網址：http://www.uforadio.com.tw/                                                                
[12] 參考網址：https://www.smileradio.com.tw/                                                                
[13] 臺南線上廣播（原新營之聲）也播出寶島聯播網的《寶島全世界》節目，但不屬於該聯播網的成員。參考網址：http://www.superfm98-5.com.tw/web/index/index.jsp                                                                """,,
C,N,R
,,
,,
聯播網,電臺,數量
陽光聯播網 / A Line Radio聯播網,正港（中）,1
陽光聯播網 / A Line Radio聯播網,青春（中）,1
陽光聯播網 / 青春線上聯播網,大地之聲（中）,1
陽光聯播網 / 青春線上聯播網,陽光（中）,1
陽光聯播網 / 青春線上聯播網,指南（中）,1
HitFM聯播網,中台灣,1
HitFM聯播網,台北之音（中）,1
HitFM聯播網,宜蘭中山（中）,1
HitFM聯播網,東台灣（中）,1
HitFM聯播網,高屏,1
POP Radio聯播網,好聽(原大新竹),1
POP Radio聯播網,台北流行,1
好事聯播網,人人（中）,1
好事聯播網,山海屯青少年之聲,1
好事聯播網,連花（中）,1
好事聯播網,港都（中）,1
好家庭聯播網,好家庭（中）,1
好家庭聯播網,台北勞工教育(財),1
快樂聯播網,全景社區,1
快樂聯播網,快樂（中）,1
快樂聯播網,望春風,1
快樂聯播網,嘉樂（中）,1
快樂聯播網,澎湖風聲,1
快樂聯播網,澎湖（中）,1
快樂聯播網,歡樂（中）,1
亞洲廣播網,亞太,1
亞洲廣播網,亞洲（中）,1
亞洲廣播網,飛揚,1
佳音Love聯播網,佳音(財),1
佳音Love聯播網,羅東,1
佳音Love聯播網,桃花源鄉,1
城市廣播網,大苗栗（中）,1
城市廣播網,台南知音（中）,1
城市廣播網,南投（中）,1
城市廣播網,城市（中）,1
城市廣播網,健康(財),1
飛碟聯播網,南台灣之聲（中）,1
飛碟聯播網,飛碟（中）,1
飛碟聯播網,中港溪(財),1
飛碟聯播網,太魯閣之音(財),1
飛碟聯播網,北宜產業(財),1
飛碟聯播網,台東知本(財),1
飛碟聯播網,民生展望(財),1
飛碟聯播網,真善美(財),1
飛碟聯播網,澎湖社區(財)（中）,1
微微笑聯播網,下港之聲放送頭,1
微微笑聯播網,大武山,1
微微笑聯播網,大金(中),1
微微笑聯播網,太陽,1
微微笑聯播網,北臺灣(中),1
微微笑聯播網,竹塹,1
微微笑聯播網,屏東之聲,1
微微笑聯播網,苗栗正義,1
微微笑聯播網,國際(中),1
微微笑聯播網,凱旋（中）,1
微微笑聯播網,嘉義環球調頻（中）,1
微微笑聯播網,潮州之聲,1
微微笑聯播網,噶瑪蘭（中）,1
微微笑聯播網,歡喜之聲（中）,1
寶島聯播網,大千（中）,1
寶島聯播網,都會聲音,1
寶島聯播網,新竹之音,1
寶島聯播網,花蓮希望之聲,1
寶島聯播網,嘉義之音,1
寶島聯播網,寶島新聲（中）,1
NCC廣播電臺節目表聯播網,台東之聲,1
NCC廣播電臺節目表聯播網,府城之聲,1
NCC廣播電臺節目表聯播網,東民（中）,1
NCC廣播電臺節目表聯播網,花蓮之聲,1
NCC廣播電臺節目表聯播網,青山（中）,1
NCC廣播電臺節目表聯播網,桃園（中）,1
NCC廣播電臺節目表聯播網,高屏溪（中）,1
NCC廣播電臺節目表聯播網,紫色姊妹,1
NCC廣播電臺節目表聯播網,領袖（中）,1
NCC廣播電臺節目表聯播網,蘭友,1
NCC廣播電臺節目表聯播網,台南之聲,1
NCC廣播電臺節目表聯播網,草嶺之聲,1
NCC廣播電臺節目表聯播網,蘭潭之聲,1
