"110年各類型廣播電臺分類",""
"",""
"[1] 中廣除流行網及音樂網等全區調頻頻道外，尚有全區調幅新聞網等頻道。                                                
[2] ICRT為大功率電臺。                                                
[3] 台廣為調幅跨區電臺，服務地區含南投縣、臺中市、新竹市、臺北市。但實際營運以分臺為主。                                                
[4] 正聲為調幅的跨區電臺，服務地區包含臺北市、臺北地區、宜蘭地區、雲林地區、臺東地區、高雄地區、嘉義地區、臺中地區；另外正聲臺北臺為中功率調頻電臺。但實際營運以分臺為主。                                                
[5] 2017年起，新營之聲公司登記名稱改為臺南線上，新竹勞工公司登記名稱改為心動廣播。                                                """,""
"C","N"
"",""
"",""
"類型","電臺名"
"公營電臺","內政部警政署警察廣播電臺（大功率）"
"公營電臺","國立教育廣播電臺（大功率）"
"公營電臺","漢聲廣播電臺（國防部心理作戰大隊）（大功率）"
"公營電臺","復興廣播電臺（大功率）"
"公營電臺","行政院農業委員會漁業署漁業廣播電臺（大功率）"
"公營電臺","臺北廣播電臺（大功率）"
"公營電臺","高雄廣播電臺（大功率）"
"公營電臺","財團法人中央廣播電臺（海外短波）"
"公營電臺","講客廣播電臺（客家委員會）（大功率）"
"公營電臺","財團法人原住民族文化事業基金會（大功率）"
"調幅電臺","中華"
"調幅電臺","天南"
"調幅電臺","天聲"
"調幅電臺","民本"
"調幅電臺","民立"
"調幅電臺","先聲"
"調幅電臺","成功"
"調幅電臺","建國"
"調幅電臺","電聲"
"調幅電臺","益世"
"調幅電臺","國聲"
"調幅電臺","基隆"
"調幅電臺","勝利之聲"
"調幅電臺","華聲"
"調幅電臺","鳳鳴"
"調幅電臺","燕聲"
"調幅電臺","福興"
"跨區及大功率電臺","中廣"
"跨區及大功率電臺","ICRT（財團法人台北國際社區文化基金會）"
"跨區及大功率電臺","台廣"
"跨區及大功率電臺","正聲"
"中功率電臺","人人"
"中功率電臺","大千"
"中功率電臺","大地之聲"
"中功率電臺","大苗栗"
"中功率電臺","大眾"
"中功率電臺","大漢之音"
"中功率電臺","天天"
"中功率電臺","太武之春"
"中功率電臺","主人"
"中功率電臺","冬山河"
"中功率電臺","古都"
"中功率電臺","台中"
"中功率電臺","台北之音"
"中功率電臺","台北愛樂"
"中功率電臺","台南知音"
"中功率電臺","台灣全民廣播"
"中功率電臺","台灣聲音"
"中功率電臺","正港"
"中功率電臺","全國"
"中功率電臺","好家庭"
"中功率電臺","竹科"
"中功率電臺","快樂"
"中功率電臺","每日"
"中功率電臺","亞洲"
"中功率電臺","宜蘭中山"
"中功率電臺","東方"
"中功率電臺","東臺灣"
"中功率電臺","東民"
"中功率電臺","金聲"
"中功率電臺","青山"
"中功率電臺","青春"
"中功率電臺","非凡音"
"中功率電臺","南臺灣之聲"
"中功率電臺","南投"
"中功率電臺","城市"
"中功率電臺","指南"
"中功率電臺","省都"
"中功率電臺","飛碟"
"中功率電臺","桃園"
"中功率電臺","神農"
"中功率電臺","澎湖社區(財)"
"中功率電臺","寶島客家(財)"
"中功率電臺","蘭嶼(財)"
"中功率電臺","高屏溪"
"中功率電臺","連花"
"中功率電臺","凱旋"
"中功率電臺","港都"
"中功率電臺","陽光"
"中功率電臺","雲嘉"
"中功率電臺","愛苗"
"中功率電臺","新客家"
"中功率電臺","新聲"
"中功率電臺","嘉義環球調頻"
"中功率電臺","嘉樂"
"中功率電臺","綠色和平"
"中功率電臺","領袖"
"中功率電臺","澎湖"
"中功率電臺","噶瑪蘭"
"中功率電臺","環宇"
"中功率電臺","寶島新聲"
"中功率電臺","寶島"
"中功率電臺","蘭陽"
"中功率電臺","歡喜之聲"
"中功率電臺","歡樂"
"中功率電臺","靉友之聲調頻"
"中功率電臺","幸福廣播事業股份有限公司"
"中功率電臺","大金廣播事業股份有限公司"
"中功率電臺","國際廣播事業股份有限公司"
"中功率電臺","北台灣之聲廣播事業股份有限公司"
"小功率電臺","人生廣播"
"小功率電臺","下港之聲放送頭"
"小功率電臺","大武山"
"小功率電臺","好聽(原大新竹)"
"小功率電臺","大溪"
"小功率電臺","大樹下"
"小功率電臺","大寶桑"
"小功率電臺","山城"
"小功率電臺","山海屯青少年之聲"
"小功率電臺","中台灣"
"小功率電臺","中原"
"小功率電臺","中部調頻"
"小功率電臺","太平洋之聲"
"小功率電臺","太陽"
"小功率電臺","心動廣播"
"小功率電臺","北回"
"小功率電臺","北部調頻"
"小功率電臺","台北流行"
"小功率電臺","台東之聲"
"小功率電臺","台南之聲"
"小功率電臺","民生之聲"
"小功率電臺","全球之聲"
"小功率電臺","全景社區"
"小功率電臺","合歡山廣播"
"小功率電臺","竹塹廣播"
"小功率電臺","自由之聲"
"小功率電臺","亞太廣播"
"小功率電臺","奇峰廣播"
"小功率電臺","宜蘭之聲"
"小功率電臺","宜蘭鄉親熱線"
"小功率電臺","府城之聲"
"小功率電臺","花蓮之聲"
"小功率電臺","花蓮希望之聲"
"小功率電臺","金臺灣"
"小功率電臺","金馬之聲"
"小功率電臺","南方之音"
"小功率電臺","南都廣播"
"小功率電臺","屏東之聲"
"小功率電臺","後山"
"小功率電臺","美聲"
"小功率電臺","苗栗正義"
"小功率電臺","飛揚"
"小功率電臺","草嶺"
"小功率電臺","中港溪(財)"
"小功率電臺","太魯閣之音(財)"
"小功率電臺","北宜產業(財)"
"小功率電臺","台北勞工教育(財)"
"小功率電臺","台東知本(財)"
"小功率電臺","民生展望(財)"
"小功率電臺","佳音(財)"
"小功率電臺","苗栗客家文化(財)"
"小功率電臺","真善美(財)"
"小功率電臺","健康(財)"
"小功率電臺","高屏"
"小功率電臺","望春風"
"小功率電臺","淡水河"
"小功率電臺","曾文溪廣播"
"小功率電臺","紫色姊妹"
"小功率電臺","鄉土之聲"
"小功率電臺","鄉親"
"小功率電臺","愛鄉之聲"
"小功率電臺","新雲林之聲"
"小功率電臺","新農"
"小功率電臺","嘉南"
"小功率電臺","嘉雲廣播"
"小功率電臺","嘉義之音"
"小功率電臺","臺南線上（原新營之聲）"
"小功率電臺","潮州之聲"
"小功率電臺","澎湖風聲"
"小功率電臺","蓮友"
"小功率電臺","濁水溪"
"小功率電臺","貓貍"
"小功率電臺","羅東"
"小功率電臺","關懷"
"小功率電臺","蘭友"
"小功率電臺","蘭潭之聲"
"小功率電臺","地理中心廣播股份有限公司"
"小功率電臺","都會聲音廣播電台股份有限公司"
"小功率電臺","雲端新廣播股份有限公司"
"小功率電臺","新竹之音廣播電台股份有限公司"
"小功率電臺","農鄉廣播電台股份有限公司"
"小功率電臺","基隆輕鬆廣播電台股份有限公司"
"小功率電臺","綠川之聲廣播股份有限公司"
"小功率電臺","彰化花園廣播電台股份有限公司"
"小功率電臺","桃花源鄉廣播股份有限公司"
