110年廣播電臺提供合法網路收聽服務路徑,,,,,,,
,,,,,,,
資料來源：本研究問卷調查整理(N=60),,,,,,,
N,R,R,R,R,R,R,R
,%,%,%,%,%,%,%
,0,0,0,0,0,0,0
分類,網路串流服務如Hichannel,網路串流直播如YouTube頻道、Facebook,與網路播音電台合作(如銀河電台、學校實驗性電台等),Podcast服務,手機集成APP(如TuneIn、myTuner Radio),手機專屬電台(或聯播網)APP,其他
整體,55.36,50.00,0.00,44.64,12.50,42.86,12.50
跨區及大功率,50.00,100.00,0.00,100.00,100.00,100.00,0.00
小功率(無),41.67,58.33,0.00,33.33,0.00,8.33,8.33
小功率(聯),50.00,12.50,0.00,37.50,0.00,62.50,25.00
中功率(無),80.00,60.00,0.00,40.00,20.00,40.00,0.00
中功率(聯),50.00,25.00,0.00,41.67,8.33,58.33,8.33
公營,75.00,75.00,0.00,87.50,25.00,50.00,37.50
調幅,25.00,75.00,0.00,0.00,0.00,25.00,0.00
