"國片審議分級數量","",""
"註1：各年度電影片審議分級證明部數均包含分級證明准映期滿仍須映演申請重審之電影片，2019年重審影片共9部。
註2：本文所稱臺灣電影（或國片）係指「國產電影片及非國產電影片認定基準」所稱之國產電影片，以及經認定原產定為中華民國之非國產電影片。","",""
"原始資料有問題 ( 2011 / 2012 的國片 / 短片與紀錄片 )","",""
"","",""
"","",""
"","",""
"年度","類型",""
"100","國片 / 劇情","44"
"100","國片 / 動畫長片",""
"100","國片 / 短片","21"
"100","國片 / 紀錄片","0.0426"
"100","非國產片（原產地中華民國）","－"
"100","香港片","27"
"100","大陸片","10"
"100","其他外國片","391"
"101","國片 / 劇情","47"
"101","國片 / 動畫長片",""
"101","國片 / 短片","29"
"101","國片 / 紀錄片","0.057"
"101","非國產片（原產地中華民國）","－"
"101","香港片","32"
"101","大陸片","10"
"101","其他外國片","391"
"102","國片 / 劇情","55"
"102","國片 / 動畫長片",""
"102","國片 / 短片","30"
"102","國片 / 紀錄片","16"
"102","非國產片（原產地中華民國）","－"
"102","香港片","42"
"102","大陸片","8"
"102","其他外國片","473"
"103","國片 / 劇情","41"
"103","國片 / 動畫長片",""
"103","國片 / 短片","22"
"103","國片 / 紀錄片","13"
"103","非國產片（原產地中華民國）","－"
"103","香港片","21"
"103","大陸片","10"
"103","其他外國片","551"
"104","國片 / 劇情","44"
"104","國片 / 動畫長片","1"
"104","國片 / 短片","22"
"104","國片 / 紀錄片","24"
"104","非國產片（原產地中華民國）","3"
"104","香港片","29"
"104","大陸片","14"
"104","其他外國片","542"
"105","國片 / 劇情","38"
"105","國片 / 動畫長片","1"
"105","國片 / 短片","22"
"105","國片 / 紀錄片","25"
"105","非國產片（原產地中華民國）","3"
"105","香港片","37"
"105","大陸片","10"
"105","其他外國片","580"
"106","國片 / 劇情","47"
"106","國片 / 動畫長片","2"
"106","國片 / 短片","33"
"106","國片 / 紀錄片","15"
"106","非國產片（原產地中華民國）","8"
"106","香港片","32"
"106","大陸片","14"
"106","其他外國片","722"
"107","國片 / 劇情","40"
"107","國片 / 動畫長片","2"
"107","國片 / 短片","57"
"107","國片 / 紀錄片","22"
"107","非國產片（原產地中華民國）","2"
"107","香港片","25"
"107","大陸片","10"
"107","其他外國片","748"
"108","國片 / 劇情","54"
"108","國片 / 動畫長片","1"
"108","國片 / 短片","44"
"108","國片 / 紀錄片","12"
"108","非國產片（原產地中華民國）","5"
"108","香港片","20"
"108","大陸片","10"
"108","其他外國片","685"
"109","國片 / 劇情","36"
"109","國片 / 動畫長片","0"
"109","國片 / 短片","47"
"109","國片 / 紀錄片","17"
"109","非國產片（原產地中華民國）","0"
"109","香港片","20"
"109","大陸片","9"
"109","其他外國片","646"
