"人均觀影次數","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"T","R","R","R","R","R","R","R","R","R"
"年(民國)","次","次","次","次","次","次","次","次","次"
"","0","0","0","0","0","0","0","0","0"
"年度","中華民國","港陸地區","亞洲其他地區","歐洲","美洲","大洋洲","非洲","整體","其它"
"98","0.02","0.02","","","","","","0.94","0.9"
"99","0.07","0.05","","","","","","0.95","0.83"
"100","0.26","0.12","","","","","","1.38","1"
"101","0.16","0.05","","","","","","1.21","1"
"102","0.19","0.04","","","","","","1.3","1.07"
"103","0.15","0.03","","","","","","1.28","1.09"
"104","0.17","0.03","","","","","","1.46","1.26"
"105","0.07","0.06","","","","","","1.34","1.22"
"106","0.14","0.04","0.21","0.09","1.45","0","","1.93",""
"107","0.15","0.04","0.27","0.04","1.46","0","","1.96",""
"108","0.13","0.05","0.22","0.02","1.42","0","0","1.83",""
"109","0.16","0.02","0.32","0.03","0.4","0","0","0.93",""
