"台北市電影票房","","","","","",""
"","","","","","",""
"國內電影市場數據(含二輪戲院)係含當年度上映、跨年度上映、重新上映之影片;已扣除影展電影片","","","","","",""
"T","R","R","R","R","R","R"
"年(民國)","億元新臺幣","億元新臺幣","%","部","部","%"
"","0","0","0","0","0","0"
"年度","總票房(億元)","國片票房(億元)","國片票房占比","總發行部數","國片發行部數","國片發行部數比重"
"97","25.261","3.054","12.09","378","29","7.670000000000001"
"98","27.21","0.625","2.3","379","31","8.18"
"99","30.87","2.256","7.31","428","38","8.88"
"100","38.195","7.125","18.65","480","36","7.5"
"101","36.18","4.304","11.899999999999999","435","51","11.72"
"102","37.966","5.299","13.96","489","56","11.450000000000001"
"103","37.077","4.278","11.540000000000001","498","54","10.84"
"104","42.038","4.679","11.129999999999999","594","66","11.110000000000001"
"105","38.979","1.859","4.77","734","67","9.13"
"106","39.057","2.699","6.909999999999999","700","60","8.57"
"107","37.032","2.457","6.64","816","61","7.48"
"108","33.057","2.366","7.16","773","70","9.06"
