"國片劇本創意發想來源","",""
"","",""
"1. 僅計算劇情片與動畫之創作劇本來源 
2. 創意發想來源盤點自2018年、2019年全新上映之國片","",""
"T","C","R"
"年(民國)","","%"
"","","0"
"年度","類型","比例"
"107","原創劇本","81.08"
"107","文學改編","8.110000000000001"
"107","真人真事改編","5.41"
"107","動漫改編","0"
"107","影視內容改編","5.41"
"107","其他","0"
"108","原創劇本","71.11"
"108","文學改編","4.44"
"108","真人真事改編","15.559999999999999"
"108","動漫改編","4.44"
"108","影視內容改編","0"
"108","其他","4.44"
"109","原創劇本","63.79"
"109","文學改編","12.07"
"109","真人真事改編","12.07"
"109","動漫改編","3.45"
"109","影視內容改編","5.17"
"109","其他","3.45"
