"國際影展活動參與度","","","","",""
"","","","","",""
"","","","","",""
"T","R","R","R","R","R"
"年(民國)","部次","家次","部次","項次","人次"
"","0","0","0","0","0"
"年度","參與國際市場展國片部次","輔導參與國際市場展片商家次","入圍國際影展國片部次","榮獲國際影展獎項項次","輔導參與國際影展國片人次"
"97","208","-","91","16","69"
"98","211","-","125","12","110"
"99","239","82","124","32","77"
"100","206","80","122","23","51"
"101","244","122","96","35","60"
"102","294","138","86","31","53"
"103","289","122","86","16","56"
"104","286","153","88","17","49"
"105","377","144","60","12","44"
"106","320","157","66","10","78"
"107","323","175","70","20","83"
"108","367","183","76","8","113"
"109","379","129","41","12","15"
