"101-108年電視劇／影集節目平均製作成本結構","",""
"","",""
"1. 此部分之數據彙整自影視局相關製作補助資料，為業者自行填寫之申請資料，由於部分業者於填寫營業稅項目中，無依規定將稅率設定為5%，且2014~2018年為申請製作補助整體資料，2019年可掌握資料為獲補助名單之製作補助資料，因此該數據僅供參考使用。                                                
2. 本表製作成本之平均金額係採四捨五入，故部分數據直接加總數值會有些微落差，但不影響各結構占比與總計；比重亦然。                                                
資料來源：台灣經濟研究院盤點整理自影視局電視節目製作補助案資料。                                                ","",""
"T","C","R"
"年(民國)","","元新臺幣"
"","","0"
"年度","製作成本結構","成本"
"101","工作人員","610034"
"101","演員/主持人費","566703"
"101","拍攝製作費","475920"
"101","後製費","162676"
"101","營業稅","90767"
"102","工作人員","842559"
"102","演員/主持人費","692164"
"102","拍攝製作費","762582"
"102","後製費","290163"
"102","營業稅","129373"
"103","工作人員","769029"
"103","演員/主持人費","526202"
"103","拍攝製作費","659983"
"103","後製費","194822"
"103","營業稅","107502"
"104","工作人員","669061"
"104","演員/主持人費","626061"
"104","拍攝製作費","542620"
"104","後製費","233367"
"104","營業稅","103555"
"105","工作人員","702915"
"105","演員/主持人費","590468"
"105","拍攝製作費","568338"
"105","後製費","259440"
"105","營業稅","106058"
"106","工作人員","1082661"
"106","演員/主持人費","638703"
"106","拍攝製作費","960478"
"106","後製費","278302"
"106","營業稅","148007"
"107","工作人員","1058892"
"107","演員/主持人費","653267"
"107","拍攝製作費","984384"
"107","後製費","389050"
"107","營業稅","154280"
"108","工作人員","1559723"
"108","演員/主持人費","1054902"
"108","拍攝製作費","1570442"
"108","後製費","542224"
"108","營業稅","236365"
