"101-110年平均每部電視劇、110年平均每部戲劇製作人力（含演員）","","","","","",""
"","","","","","",""
"資料來源：台灣經濟研究院盤點整理自歷年各電視劇節目演職人員表。","","","","","",""
"T","R","R","R","R","R","R"
"年(民國)","人","人","人","人","人","人"
"","0","0","0","0","0","0"
"年份","周播劇","日播劇","公視劇","大愛劇","全部","網路劇/網路獨播劇"
"101","115","149","92","56","116.65","–"
"102","113","158","105","64","120.22","–"
"103","133","170","65","97","131.78","–"
"104","122","184","129","69","106.95","–"
"105","143","173","150","81","147","–"
"106","119","157","227","86","128","–"
"107","157","160","242","94","153","–"
"108","189","158","172","117","164","128"
"109","227","157","183","105","180","131"
"110","308","174","422","123","218","154"
