"101-110年我國戲劇節目製播情形-部數計","",""
"","",""
"1. 產製部數計算標準為當年度首播的新製電視劇，包含跨年度製作（例如2019年新製電視劇，跨年度為2018~2019年及2019~2020年）。
2. 上表依各年度委辦需求及產業發展趨勢增加數據蒐集項目，故本研究自2016年起增加網路劇部數調查。
資料來源：台灣經濟研究院盤點整理自歷年電視節目表。","",""
"T","C","R"
"年(民國)","","部"
"","","0"
"年度","節目類型","部數"
"101","電視劇","53"
"101","網路劇","-"
"102","電視劇","59"
"102","網路劇","-"
"103","電視劇","61"
"103","網路劇","-"
"104","電視劇","30"
"104","網路劇","-"
"105","電視劇","71"
"105","網路劇","12"
"106","電視劇","61"
"106","網路劇","17"
"107","電視劇","50"
"107","網路劇","16"
"108","電視劇","52"
"108","網路劇","18"
"109","電視劇","56"
"109","網路劇","19"
"110","電視劇","51"
"110","網路獨播劇","22"
