"103-108年各類電視頻道之新播率變化","",""
"","",""
"1. 新播、首播及重播率資料係來自NCC公開資料集「衛星電視-頻道播放節目時數與比例-按新播、首播及重播分」、「無線電視-頻道播放節目時數與比例-按新播、首播及重播分」。有關電視頻道之新播率、首播率及重播率定義，皆以NCC定義為準，且上述分類加總為100%。其中NCC修訂之「新播」定義為「一節目在國內有線廣播電視系統經營者（含有線電視節目播送系統）、直播衛星廣播電視服務事業或其他供公眾收視聽之播送平臺事業的第1次播出」。                        
2. 上述分析之頻道類別中，衛星頻道以有線電視系統為主，戲劇台包含東森戲劇台、緯來戲劇台、GTV戲劇台；綜合台包含中天娛樂、中天綜合、GTV第一台、GTV綜合台、三立台灣台、三立都會台、東森綜合台、衛視中文台、緯來綜合台、TVBS（綜合台）、TVBS歡樂台、MUCH TV、超視、東風衛視、JET綜合台。電影台僅包含東森電影台、東森洋片台、緯來電影台、衛視電影台，兒少台則僅包含東森YOYO TV及MOMO親子台。                        
資料來源：台灣經濟研究院整理自NCC公開資料。                        ","",""
"T","C","R"
"年(民國)","","%"
"","","0"
"年度","頻道別","新播率"
"103","戲劇頻道","11.61"
"103","綜合頻道","19.37"
"103","兒少頻道","9.21"
"103","電影頻道","6.17"
"103","無線頻道","41.4"
"104","戲劇頻道","11.4"
"104","綜合頻道","15.909999999999998"
"104","兒少頻道","9.73"
"104","電影頻道","6.5"
"104","無線頻道","43.66"
"105","戲劇頻道","12.75"
"105","綜合頻道","20.06"
"105","兒少頻道","8.709999999999999"
"105","電影頻道","5.5"
"105","無線頻道","43.74"
"106","戲劇頻道","12.09"
"106","綜合頻道","17.1"
"106","兒少頻道","9.2"
"106","電影頻道","3.7699999999999996"
"106","無線頻道","43.29"
"107","戲劇頻道","10.530000000000001"
"107","綜合頻道","15.6"
"107","兒少頻道","10.979999999999999"
"107","電影頻道","4.569999999999999"
"107","無線頻道","38.87"
"108","戲劇頻道","7.68"
"108","綜合頻道","15.55"
"108","兒少頻道","13.01"
"108","電影頻道","3.2300000000000004"
"108","無線頻道","35.809999999999995"
