"103-108年各類電視頻道之新播率變化","",""
"","",""
"1. 新播、首播及重播率資料係來自NCC公開資料集「衛星電視-頻道播放節目時數與比例-按新播、首播及重播分」、「無線電視-頻道播放節目時數與比例-按新播、首播及重播分」。有關電視頻道之新播率、首播率及重播率定義，皆以NCC定義為準，且上述分類加總為100%。其中NCC修訂之「新播」定義為「一節目在國內有線廣播電視系統經營者（含有線電視節目播送系統）、直播衛星廣播電視服務事業或其他供公眾收視聽之播送平臺事業的第1次播出」。                        
2. 上述分析之頻道類別中，衛星頻道以有線電視系統為主，戲劇台包含東森戲劇台、緯來戲劇台、GTV戲劇台；綜合台包含中天娛樂、中天綜合、GTV第一台、GTV綜合台、三立台灣台、三立都會台、東森綜合台、衛視中文台、緯來綜合台、TVBS（綜合台）、TVBS歡樂台、MUCH TV、超視、東風衛視、JET綜合台。電影台僅包含東森電影台、東森洋片台、緯來電影台、衛視電影台，兒少台則僅包含東森YOYO TV及MOMO親子台。                        
資料來源：台灣經濟研究院整理自NCC公開資料。                        ","",""
"T","C","R"
"年(民國)","","%"
"","","0"
"年度","頻道別","首播率"
"103","戲劇頻道","26.87"
"103","綜合頻道","16.439999999999998"
"103","兒少頻道","28.37"
"103","電影頻道","17.59"
"103","無線頻道","7.21"
"104","戲劇頻道","41.61"
"104","綜合頻道","15.659999999999998"
"104","兒少頻道","27.93"
"104","電影頻道","16.89"
"104","無線頻道","6.069999999999999"
"105","戲劇頻道","32.85"
"105","綜合頻道","13.089999999999998"
"105","兒少頻道","25.590000000000003"
"105","電影頻道","13.63"
"105","無線頻道","7.51"
"106","戲劇頻道","24.82"
"106","綜合頻道","14.649999999999999"
"106","兒少頻道","24.97"
"106","電影頻道","8.41"
"106","無線頻道","6.11"
"107","戲劇頻道","24.44"
"107","綜合頻道","15.879999999999999"
"107","兒少頻道","19.55"
"107","電影頻道","6.800000000000001"
"107","無線頻道","9.13"
"108","戲劇頻道","28.03"
"108","綜合頻道","16.400000000000002"
"108","兒少頻道","19.43"
"108","電影頻道","9.13"
"108","無線頻道","6.959999999999999"
