"106-108年超高畫質電視節目平均製作成本結構","",""
"","",""
"1. 此部分之數據彙整自影視局相關製作補助資料，為業者自行填寫之申請資料，由於部分業者於填寫營業稅項目中，無依規定將稅率設定為5%，且2017~2018年為申請製作補助整體資料，2019年可掌握資料為獲補助名單之製作補助資料，因此該數據僅供參考使用。                        
2. 本表製作成本之平均金額係採四捨五入，故部分數據直接加總數值會有些微落差，但不影響各結構占比與總計；比重亦然。                        
資料來源：台灣經濟研究院盤點整理自影視局電視節目製作補助案資料。                        ","",""
"T","C","R"
"年(民國)","","元新臺幣"
"","","0"
"年度","分類","成本"
"106","工作人員","1270169"
"106","演員/主持人費","1023397"
"106","拍攝製作費","1286276"
"106","後製費","320032"
"106","營業稅","194994"
"107","工作人員","1863974"
"107","演員/主持人費","921537"
"107","拍攝製作費","1789099"
"107","後製費","859122"
"107","營業稅","271687"
"108","工作人員","1828478"
"108","演員/主持人費","869662"
"108","拍攝製作費","1328666"
"108","後製費","716583"
"108","營業稅","237169"
