"106-110年自製內容海外版權交易地區（次數比重）","",""
"","",""
"資料來源：台灣經濟研究院整理自問卷調查回收。","",""
"T","N","R"
"年(民國)","","%"
"","","0"
"年度","類別","比重"
"106-108","中國（不含港澳）","22.06"
"106-108","東南亞","17.65"
"106-108","香港","11.76"
"106-108","日本","7.35"
"106-108","美洲","5.88"
"106-108","歐洲","4.41"
"106-108","韓國","2.94"
"106-108","紐澳","1.47"
"106-108","其他","2.94"
"106-108","國際OTT平臺","7.35"
"107-109","中國（不含港澳）","19.05"
"107-109","東南亞","16.19"
"107-109","香港","13.33"
"107-109","日本","13.33"
"107-109","美洲","7.62"
"107-109","歐洲","3.81"
"107-109","韓國","7.62"
"107-109","中東","2.86"
"107-109","其他","0.95"
"107-109","國際OTT平臺","15.24"
"108-110","中國（不含港澳）","17.8"
"108-110","東南亞","18.85"
"108-110","香港","13.61"
"108-110","日本","10.99"
"108-110","美洲","12.57"
"108-110","歐洲","5.24"
"108-110","韓國","7.33"
"108-110","中東","0.52"
"108-110","其他","1.05"
"108-110","大洋洲","2.625"
"108-110","國際OTT平臺","9.42"
