"108-109年兒童及綜藝節目平均製作成本結構","","",""
"","","",""
"1. 此部分之數據彙整自文化部影視局公告之相關製作輔助資料，其中，依據「兒童電視節目製作補助要點」，其所稱之「兒童」，係兒童及少年福利與權益保障法第2條所指未滿十二歲之人。                        
2. 本表製作成本之平均金額係採四捨五入，故部分數據直接加總數值會有些微落差，但不影響各結構占比與總計；比重亦然。                        
資料來源：台灣經濟研究院盤點整理自影視局電視節目製作補助案資料。                        ","","",""
"T","C","C","R"
"年(民國)","","","元新臺幣"
"","","","0"
"年度","節目類型","分類","成本"
"108","兒童節目","工作人員","499598"
"108","兒童節目","演員/主持人費","38000"
"108","兒童節目","拍攝製作費","805389"
"108","兒童節目","後製費","303427"
"108","兒童節目","營業稅","82321"
"108","綜藝節目","工作人員","349192"
"108","綜藝節目","演員/主持人費","311877"
"108","綜藝節目","拍攝製作費","548416"
"108","綜藝節目","後製費","119652"
"108","綜藝節目","營業稅","66457"
"109","兒童節目","工作人員","403460"
"109","兒童節目","演員/主持人費","97986"
"109","兒童節目","拍攝製作費","1064953"
"109","兒童節目","後製費","263639"
"109","兒童節目","營業稅","91502"
"109","綜藝節目(扣除大製作)","工作人員","455841"
"109","綜藝節目(扣除大製作)","演員/主持人費","352061"
"109","綜藝節目(扣除大製作)","拍攝製作費","658012"
"109","綜藝節目(扣除大製作)","後製費","165458"
"109","綜藝節目(扣除大製作)","營業稅","81569"
"109","綜藝節目","工作人員","512285"
"109","綜藝節目","演員/主持人費","429513"
"109","綜藝節目","拍攝製作費","982482"
"109","綜藝節目","後製費","259372"
"109","綜藝節目","營業稅","109183"
