"108年各類電視頻道之新播率、首播率與重播率","","",""
"1. 新播、首播及重播率資料係來自NCC公開資料集「衛星電視-頻道播放節目時數與比例-按新播、首播及重播分」、「無線電視-頻道播放節目時數與比例-按新播、首播及重播分」。有關電視頻道之新播率、首播率及重播率定義，皆以NCC定義為準，且上述分類加總為100%。其中NCC修訂之「新播」定義為「一節目在國內有線廣播電視系統經營者（含有線電視節目播送系統）、直播衛星廣播電視服務事業或其他供公眾收視聽之播送平臺事業的第1次播出」。                        
2. 上述分析之頻道類別中，衛星頻道以有線電視系統為主，戲劇台包含東森戲劇台、緯來戲劇台、GTV戲劇台；綜合台包含中天娛樂、中天綜合、GTV第一台、GTV綜合台、三立台灣台、三立都會台、東森綜合台、衛視中文台、緯來綜合台、TVBS（綜合台）、TVBS歡樂台、MUCH TV、超視、東風衛視、JET綜合台。電影台僅包含東森電影台、東森洋片台、緯來電影台、衛視電影台，兒少台則僅包含東森YOYO TV及MOMO親子台。                        
資料來源：台灣經濟研究院整理自NCC公開資料。                        ","","",""
"","","",""
"N","R","R","R"
"","%","%","%"
"","0","0","0"
"頻道別","新播比例","首播比例","重播比例"
"戲劇頻道","0.0768","0.2803","0.6428"
"綜合頻道","0.1555","0.164","0.6805"
"兒少頻道","0.1301","0.1943","0.6756"
"電影頻道","0.0323","0.0913","0.8763"
"無線頻道","0.3581","0.0696","0.5723"
"各頻道平均","0.2187","0.1102","0.671"
