影視產業樣貌,,,,,,
,,,,,,
說明: 資料破損嚴重、分類不齊、並考慮到會再更新，因此隨便整理一下而已.,,,,,,
T,C,C,R,R,R,R
,,,家,人,新臺幣,新臺幣
,,,,,8,8
年度,主產業,次產業,營利事業家數,就業人數,產值,出口值
98,電視產業,電視節目製作,780,4546,158.31,2.22
98,電視產業,電視節目後製,14,563,7.26,0
98,電視產業,電視節目發行,85,541,52.68,0.27
98,電視產業,電視內容產業,879,5650,218.25,2.49
98,電視產業,電視頻道,114,13345,480.92,7.48
98,電視產業,電視平臺,63,5567,408.07,0.59
98,電視產業,網路影音節目製作,─,,,
98,電視產業,數位發行與播送,,,,
98,電影產業,電影製作業,,,,
98,電影產業,電影後製業,,,,
98,電影產業,電影發行業,,,,
98,電影產業,電影映演業,,,,
98,廣播產業,廣播節目製作及發行,,,,
98,廣播產業,廣播電臺經營,,,,
98,動畫產業,核心內容產製,,,,
98,動畫產業,國內發行平臺,,,,
99,電視產業,電視節目製作,718,4461,180.61,2.99
99,電視產業,電視節目後製,10,619,8.25,0.04
99,電視產業,電視節目發行,74,531,56.84,0.13
99,電視產業,電視內容產業,802,5611,245.7,3.16
99,電視產業,電視頻道,117,13303,518.25,8.72
99,電視產業,電視平臺,62,5956,440.42,0.24
99,電視產業,網路影音節目製作,,,,
99,電視產業,數位發行與播送,,,,
99,電影產業,電影製作業,262,452,16.25,0.172
99,電影產業,電影後製業,79,406,5.28,0.03
99,電影產業,電影發行業,220,434,36.76,0.675
99,電影產業,電影映演業,99,2837,63.07,0.009
99,廣播產業,廣播節目製作及發行,─,─,─,─
99,廣播產業,廣播電臺經營,─,─,─,─
99,動畫產業,核心內容產製,─,─,─,─
99,動畫產業,國內發行平臺,─,─,─,─
100,電視產業,電視節目製作,749,4531,206.01,2.87
100,電視產業,電視節目後製,8,619,8.71,0
100,電視產業,電視節目發行,63,539,49.55,0.11
100,電視產業,電視內容產業,820,5689,264.27,2.98
100,電視產業,電視頻道,114,13303,550.84,12.72
100,電視產業,電視平臺,64,5956,444.14,0.38
100,電視產業,網路影音節目製作,─,─,─,─
100,電視產業,數位發行與播送,─,─,─,─
100,電影產業,電影製作業,326,468,24.91,0.338
100,電影產業,電影後製業,75,407,5.72,0.038
100,電影產業,電影發行業,203,368,42.12,0.528
100,電影產業,電影映演業,97,3079,84.45,0
100,廣播產業,廣播節目製作及發行,─,─,─,─
100,廣播產業,廣播電臺經營,─,─,─,─
100,動畫產業,核心內容產製,─,─,─,─
100,動畫產業,國內發行平臺,─,─,─,─
101,電視產業,電視節目製作,778,4358,229.27,3.24
101,電視產業,電視節目後製,─,619,8.82,0
101,電視產業,電視節目發行,90,465,52.71,0.07
101,電視產業,電視內容產業,868,5442,290.8,3.31
101,電視產業,電視頻道,106,14304,536.11,10.91
101,電視產業,電視平臺,72,5793,437.8,0.33
101,電視產業,網路影音節目製作,─,─,─,─
101,電視產業,數位發行與播送,─,─,─,─
101,電影產業,電影製作業,392,478,26.34,1.168
101,電影產業,電影後製業,79,394,6.18,0.035
101,電影產業,電影發行業,214,374,53.35,0.077
101,電影產業,電影映演業,95,3166,101.05,0
101,廣播產業,廣播節目製作及發行,260,─,35.67,3.5
101,廣播產業,廣播電臺經營,171,3554,36.71,0.99
101,廣播產業,網路廣播,─,─,─,─
101,動畫產業,核心內容產製,─,─,─,─
101,動畫產業,國內發行平臺,─,─,─,─
