流音產業樣貌,,,,,,,
,,,,,,,
,,,,,,,
T,C,C,C,R,R,R,R
,,,,家,人,新臺幣,新臺幣
,,,,0,0,8,8
年度,產業別,主分類,次分類,營利事業家數,就業人數,產值,出口值
108,流行音樂,流行音樂產業,實體唱片銷售業,226,─,3.66,0.19
108,流行音樂,流行音樂產業,音樂製作/發行/歌手經紀業,690,"2,209",118.11,34.71
108,流行音樂,流行音樂產業,集管團體與詞曲經紀業,81,133,14.15,4.36
108,流行音樂,流行音樂產業,音樂串流/下載平台業,3,375,25.5,3.38
108,流行音樂,流行音樂產業,KTV業,"1,845","12,360",1.48,0
108,流行音樂,流行音樂產業,伴唱產品業,─,,1.87,0
108,流行音樂,流行音樂產業,展演活動策劃與製作業,77,"1,976",49.97,0.23
108,流行音樂,流行音樂產業,展演協力業,535,470,11.48,0.01
108,流行音樂,流行音樂產業,展演空間業,46,"1,260",3.85,0
108,流行音樂,流行音樂產業,售票業,24,258,24.65,0.49
