"展演活動收入結構","",""
"","",""
"1. 104年-107年調查對象為「演出經紀公司」與「演出製作公司」。
2. 104年－107年為票房收益; 104年－107年為製作設計及硬體工程; 104年－107年為線上直播/錄播
3. 占比數據因採四捨五入法，故加總不為100％。
4. 請參照 108 年展演活動收入結構
資料來源：107年產調、本調查","",""
"T","C","R"
"年(民國)","","%"
"","","1"
"年度","分類","比例"
"104","票房收入","70.41"
"104","活動之軟硬體整合服務","-"
"104","線上演唱會","0.05"
"104","活動製作設計","-"
"104","企業贊助","5.64"
"104","周邊商品","6.45"
"104","音樂培育","0.05"
"104","設備出租","-"
"104","其他","17.4"
"105","票房收入","56.9"
"105","活動之軟硬體整合服務","35.09"
"105","線上演唱會","2.69"
"105","活動製作設計","-"
"105","企業贊助","1.32"
"105","周邊商品","1.18"
"105","音樂培育","0.13"
"105","設備出租","-"
"105","其他","2.69"
"106","票房收入","50.08"
"106","活動之軟硬體整合服務","42.72"
"106","線上演唱會","0.52"
"106","活動製作設計","-"
"106","企業贊助","1.37"
"106","周邊商品","3.13"
"106","音樂培育","-"
"106","設備出租","-"
"106","其他","2.18"
"107","票房收入","59.1"
"107","活動之軟硬體整合服務","33.07"
"107","線上演唱會","0.11"
"107","活動製作設計","-"
"107","企業贊助","1.36"
"107","周邊商品","3.27"
"107","音樂培育","-"
"107","設備出租","-"
"107","其他","3.09"
