"108-109年各次產業營業收入結構","","",""
"","","",""
"占比數據因採四捨五入法，故加總不為100％。
集管團體與版權業 N=8
音樂製作/發行/藝人經紀業 N=91
音樂串流/下載平台業 N=2
展演活動策劃與製作業 N=25
展演協力業 N=13
展演空間業 N=30
售票業 N=6
KTV與伴唱產品業 N=3","","",""
"T","C","C","R"
"年(民國)","","","%"
"","","","0"
"年度","產業","分類","比例"
"108","集管團體與版權業","音樂製作","0"
"108","集管團體與版權業","實體音樂銷售","5"
"108","集管團體與版權業","歌曲授權及版權管理","72.39"
"108","集管團體與版權業","數位音樂串流/下載","19.25"
"108","集管團體與版權業","KTV與伴唱產品","3.25"
"108","集管團體與版權業","演藝經紀","0"
"108","集管團體與版權業","周邊商品","0"
"108","集管團體與版權業","活動空間營運","0"
"108","集管團體與版權業","活動策劃","0"
"108","集管團體與版權業","活動製作/工程","0"
"108","集管團體與版權業","票券銷售服務","0"
"108","集管團體與版權業","其他文化內容領域","0"
"108","集管團體與版權業","其他","0.11"
"108","音樂製作/發行/藝人經紀業","音樂製作","16.03"
"108","音樂製作/發行/藝人經紀業","實體音樂銷售","6.81"
"108","音樂製作/發行/藝人經紀業","歌曲授權及版權管理","14.62"
"108","音樂製作/發行/藝人經紀業","數位音樂串流/下載","15.34"
"108","音樂製作/發行/藝人經紀業","KTV與伴唱產品","1.68"
"108","音樂製作/發行/藝人經紀業","演藝經紀","29.37"
"108","音樂製作/發行/藝人經紀業","周邊商品","1.64"
"108","音樂製作/發行/藝人經紀業","活動空間營運","0.54"
"108","音樂製作/發行/藝人經紀業","活動策劃","6.71"
"108","音樂製作/發行/藝人經紀業","活動製作/工程","2.23"
"108","音樂製作/發行/藝人經紀業","票券銷售服務","0.04"
"108","音樂製作/發行/藝人經紀業","其他文化內容領域","2.47"
"108","音樂製作/發行/藝人經紀業","其他","2.51"
"108","音樂串流/下載平台業","音樂製作","0"
"108","音樂串流/下載平台業","實體音樂銷售","0"
"108","音樂串流/下載平台業","歌曲授權及版權管理","0"
"108","音樂串流/下載平台業","數位音樂串流/下載","99"
"108","音樂串流/下載平台業","KTV與伴唱產品","0"
"108","音樂串流/下載平台業","演藝經紀","0"
"108","音樂串流/下載平台業","周邊商品","0"
"108","音樂串流/下載平台業","活動空間營運","0"
"108","音樂串流/下載平台業","活動策劃","0"
"108","音樂串流/下載平台業","活動製作/工程","0"
"108","音樂串流/下載平台業","票券銷售服務","0"
"108","音樂串流/下載平台業","其他文化內容領域","0"
"108","音樂串流/下載平台業","其他","1"
"108","展演活動策劃與製作業","音樂製作","2.2"
"108","展演活動策劃與製作業","實體音樂銷售","0.2"
"108","展演活動策劃與製作業","歌曲授權及版權管理","0.2"
"108","展演活動策劃與製作業","數位音樂串流/下載","0.2"
"108","展演活動策劃與製作業","KTV與伴唱產品","0.2"
"108","展演活動策劃與製作業","演藝經紀","6.04"
"108","展演活動策劃與製作業","周邊商品","2.66"
"108","展演活動策劃與製作業","活動空間營運","2.91"
"108","展演活動策劃與製作業","活動策劃","46.33"
"108","展演活動策劃與製作業","活動製作/工程","27.08"
"108","展演活動策劃與製作業","票券銷售服務","7.07"
"108","展演活動策劃與製作業","其他文化內容領域","0.8"
"108","展演活動策劃與製作業","其他","4.11"
"108","展演協力業","音樂製作","0"
"108","展演協力業","實體音樂銷售","0"
"108","展演協力業","歌曲授權及版權管理","0"
