"展演活動收入結構","","",""
"","","",""
"1. 104年-107年調查對象為「演出經紀公司」與「演出製作公司」。
2. 104年－107年為票房收益，108年為票房收入；104年－107年為製作設計及硬體工程，108年為活動之軟硬體整合服務；104年－107年為線上直播/錄播，108年為線上演唱會。
3. 占比數據因採四捨五入法，故加總不為100％。
4. 請參照 104-107年展演活動收入結構
資料來源：107年產調、本調查
展演活動策劃與製作業者 N=23
產業內有執行活動之業者 N=64","","",""
"T","C","C","R"
"年(民國)","","","%"
"","","","1"
"年度","業者別","分類","比例"
"108","展演活動策劃與製作業者","票房收入","30.61"
"108","展演活動策劃與製作業者","活動之軟硬體整合服務","30.98"
"108","展演活動策劃與製作業者","線上演唱會","0"
"108","展演活動策劃與製作業者","活動製作設計","24.97"
"108","展演活動策劃與製作業者","企業贊助","1.08"
"108","展演活動策劃與製作業者","周邊商品","1.52"
"108","展演活動策劃與製作業者","音樂培育","-"
"108","展演活動策劃與製作業者","設備出租","5.61"
"108","展演活動策劃與製作業者","其他","5.24"
"108","展演活動策劃與製作業者","票房收入","35.89"
"108","產業內有執行活動之業者","活動之軟硬體整合服務","21.44"
"108","產業內有執行活動之業者","線上演唱會","0.78"
"108","產業內有執行活動之業者","活動製作設計","18.5"
"108","產業內有執行活動之業者","企業贊助","2.02"
"108","產業內有執行活動之業者","周邊商品","2.22"
"108","產業內有執行活動之業者","音樂培育","-"
"108","產業內有執行活動之業者","設備出租","15.52"
"108","產業內有執行活動之業者","其他","3.63"
"109","展演活動策劃與製作業者","（實體）票房","9.06"
"109","展演活動策劃與製作業者","線上演唱會票房","0.06"
"109","展演活動策劃與製作業者","線上演唱會其他","0.69"
"109","展演活動策劃與製作業者","活動製作設計","28.34"
"109","展演活動策劃與製作業者","周邊商品","5.94"
"109","展演活動策劃與製作業者","企業贊助","10.92"
"109","展演活動策劃與製作業者","活動之軟硬體整合服務","33.53"
"109","展演活動策劃與製作業者","音樂培育","-"
"109","展演活動策劃與製作業者","設備出租","9.71"
"109","展演活動策劃與製作業者","其他","1.75"
"109","產業內有執行活動之業者","（實體）票房","24.32"
"109","產業內有執行活動之業者","線上演唱會票房","0.36"
"109","產業內有執行活動之業者","線上演唱會其他","0.19"
"109","產業內有執行活動之業者","活動製作設計","14.94"
"109","產業內有執行活動之業者","周邊商品","4.77"
"109","產業內有執行活動之業者","企業贊助","6.78"
"109","產業內有執行活動之業者","活動之軟硬體整合服務","30.4"
"109","產業內有執行活動之業者","音樂培育","-"
"109","產業內有執行活動之業者","設備出租","15.58"
"109","產業內有執行活動之業者","其他","2.68"
