108-109年展演活動概況-依區位分布,,,,,,,
,,,,,,,
"1. 一般音樂活動：以音樂為主題之表演活動；非專門音樂活動：成果發表、活動主題非音樂之表演活動；音樂節慶專門活動：以音樂為主題之節慶表演活動；街頭音樂活動：表演場地在街頭之音樂表演活動；節日音樂活動：以節日為名舉辦之音樂表演活動
2. 藝文資訊系統內資料已排除非流行音樂活動；活動內容由業者自行申報。
3. 占比數據因採四捨五入法，故加總不為100％。
資料來源：文化部全國藝文活動資訊系統網－2019年流行音樂活動（表演與節慶）、本研究盤點主要音樂場館之系統性活動資料",,,,,,,
T,C,R,R,R,R,R,R
年(民國),,%,%,%,%,%,%
,,0,0,0,0,0,0
年度,分區,一般音樂活動,非專門音樂活動,音樂節慶專門活動,街頭音樂活動,節日音樂活動,總計
108,北部,37.91,46.73,43.95,82.96,41.73,49.12
108,中部,8.82,30.60,23.79,0.00,20.86,10.59
108,南部,44.51,19.05,23.39,17.04,33.09,34.18
108,東部,8.17,2.64,4.44,0.00,3.60,5.43
108,離島,0.59,0.97,4.44,0.00,0.72,0.68
109,北部,33.94,40.38,38.26,52.13,32.52,36.96
109,中部,12.45,33.08,21.74,14.10,40.24,16.50
109,南部,36.87,21.54,35.65,28.69,18.29,33.22
109,東部,16.39,3.46,2.61,5.08,5.69,12.70
109,離島,0.36,1.54,1.74,-,3.25,0.62
