"108-109年活動空間收入結構","","",""
"","","",""
"占比數據因採四捨五入法，故加總不為100％。
總體 N = 31
Live House N = 9
非Live House N = 22","","",""
"T","C","C","R"
"年(民國)","","","%"
"","","","0"
"年度","空間類型","分類","比例"
"108","Live House","音樂培育/教學收入","9.22"
"108","Live House","場地租金收入","73.11"
"108","Live House","企業贊助收入","0.22"
"108","Live House","餐飲收入","2.44"
"108","Live House","其他","15"
"108","非Live House","音樂培育/教學收入","0.45"
"108","非Live House","場地租金收入","87.55"
"108","非Live House","企業贊助收入","0.45"
"108","非Live House","餐飲收入","6.09"
"108","非Live House","其他","5.45"
"108","總體","音樂培育/教學收入","3"
"108","總體","場地租金收入","83.35"
"108","總體","企業贊助收入","0.39"
"108","總體","餐飲收入","5.03"
"108","總體","其他","8.23"
"109","Live House","音樂培育/教學收入","16.67"
"109","Live House","場地租金收入","80"
"109","Live House","企業贊助收入","-"
"109","Live House","餐飲收入","3.33"
"109","Live House","其他","-"
"109","非Live House","音樂培育/教學收入","0.19"
"109","非Live House","場地租金收入","78.23"
"109","非Live House","企業贊助收入","-"
"109","非Live House","餐飲收入","17.5"
"109","非Live House","其他","4.08"
"109","總體","音樂培育/教學收入","3.28"
"109","總體","場地租金收入","78.56"
"109","總體","企業贊助收入","-"
"109","總體","餐飲收入","14.84"
"109","總體","其他","3.31"
