108-109年藝人演出之場次分布,,,,,,,,
,,,,,,,,
"1. 大型展演場館：容納萬人以上；中大型展演場館：容納3千人-萬人以下；中型展演場館：容納1千人-3千人；小型展演場館：容納千人以下
2. 藝文資訊系統內資料已排除非流行音樂活動；活動內容由業者自行申報。
3. 占比數據因採四捨五入法，故加總不為100％。
資料來源：文化部全國藝文活動資訊系統網－2019年流行音樂活動（表演與節慶）、本研究盤點主要音樂場館之系統性活動資料",,,,,,,,
T,C,R,R,R,R,R,R,R
年(民國),,%,%,%,%,%,%,%
,,,,,,,,
年度,分類,華語,日本,韓國,東南亞,歐美,多國籍,總計
108,大型展演空間,1.58,5.31,5.56,0.00,1.89,0.99,1.66
108,中大型展演空間,0.39,7.96,44.44,0.00,2.83,0.33,1.00
108,中型展演空間,0.21,2.65,0.00,0.00,0.00,0.99,0.30
108,小型展演空間,1.29,14.16,22.22,0.00,0.94,1.32,1.73
108,Live House,15.94,46.90,24.07,29.41,50.94,36.09,18.38
108,複合型展演空間,22.59,16.81,0.00,11.76,24.53,21.19,22.19
108,其他館舍/場地附設正式展演空間,5.20,2.65,3.70,23.53,9.43,2.32,5.12
108,戶外場地,39.02,3.54,0.00,29.41,2.83,31.79,36.87
108,其他,13.78,0.00,0.00,5.88,6.60,4.97,12.76
109,大型展演空間,0.95,14.29,-,-,-,2.41,1.03
109,中大型展演空間,0.67,-,-,-,-,2.41,0.72
109,中型展演空間,0.24,-,-,-,-,0.60,0.25
109,小型展演空間,0.47,7.14,100.00,50.00,-,1.81,0.58
109,Live House,15.04,28.57,-,-,39.13,38.55,15.99
109,複合型展演空間,28.48,28.57,-,-,39.13,29.52,28.55
109,其他館舍/場地附設正式展演空間,9.75,-,-,-,-,3.01,9.44
109,戶外場地,35.84,21.43,-,50.00,21.74,20.48,35.20
109,其他,8.57,-,-,-,-,1.20,8.24
