"108年各次產業營業收入結構","",""
"","",""
"占比數據因採四捨五入法，故加總不為100％。
集管團體與版權業 N=8
音樂製作/發行/藝人經紀業 N=91
音樂串流/下載平台業 N=2
展演活動策劃與製作業 N=25
展演協力業 N=13
展演空間業 N=30
售票業 N=6
KTV與伴唱產品業 N=3","",""
"C","C","R"
"","","%"
"","","0"
"產業","分類","比例"
"集管團體與版權業","音樂製作","0"
"集管團體與版權業","實體音樂銷售","5"
"集管團體與版權業","歌曲授權及版權管理","72.39"
"集管團體與版權業","數位音樂串流/下載","19.25"
"集管團體與版權業","KTV與伴唱產品","3.25"
"集管團體與版權業","演藝經紀","0"
"集管團體與版權業","周邊商品","0"
"集管團體與版權業","活動空間營運","0"
"集管團體與版權業","活動策劃","0"
"集管團體與版權業","活動製作/工程","0"
"集管團體與版權業","票券銷售服務","0"
"集管團體與版權業","其他文化內容領域","0"
"集管團體與版權業","其他","0.11"
"音樂製作/發行/藝人經紀業","音樂製作","16.03"
"音樂製作/發行/藝人經紀業","實體音樂銷售","6.81"
"音樂製作/發行/藝人經紀業","歌曲授權及版權管理","14.62"
"音樂製作/發行/藝人經紀業","數位音樂串流/下載","15.34"
"音樂製作/發行/藝人經紀業","KTV與伴唱產品","1.68"
"音樂製作/發行/藝人經紀業","演藝經紀","29.37"
"音樂製作/發行/藝人經紀業","周邊商品","1.64"
"音樂製作/發行/藝人經紀業","活動空間營運","0.54"
"音樂製作/發行/藝人經紀業","活動策劃","6.71"
"音樂製作/發行/藝人經紀業","活動製作/工程","2.23"
"音樂製作/發行/藝人經紀業","票券銷售服務","0.04"
"音樂製作/發行/藝人經紀業","其他文化內容領域","2.47"
"音樂製作/發行/藝人經紀業","其他","2.51"
"音樂串流/下載平台業","音樂製作","0"
"音樂串流/下載平台業","實體音樂銷售","0"
"音樂串流/下載平台業","歌曲授權及版權管理","0"
"音樂串流/下載平台業","數位音樂串流/下載","99"
"音樂串流/下載平台業","KTV與伴唱產品","0"
"音樂串流/下載平台業","演藝經紀","0"
"音樂串流/下載平台業","周邊商品","0"
"音樂串流/下載平台業","活動空間營運","0"
"音樂串流/下載平台業","活動策劃","0"
"音樂串流/下載平台業","活動製作/工程","0"
"音樂串流/下載平台業","票券銷售服務","0"
"音樂串流/下載平台業","其他文化內容領域","0"
"音樂串流/下載平台業","其他","1"
"展演活動策劃與製作業","音樂製作","2.2"
"展演活動策劃與製作業","實體音樂銷售","0.2"
"展演活動策劃與製作業","歌曲授權及版權管理","0.2"
"展演活動策劃與製作業","數位音樂串流/下載","0.2"
"展演活動策劃與製作業","KTV與伴唱產品","0.2"
"展演活動策劃與製作業","演藝經紀","6.04"
"展演活動策劃與製作業","周邊商品","2.66"
"展演活動策劃與製作業","活動空間營運","2.91"
"展演活動策劃與製作業","活動策劃","46.33"
"展演活動策劃與製作業","活動製作/工程","27.08"
"展演活動策劃與製作業","票券銷售服務","7.07"
"展演活動策劃與製作業","其他文化內容領域","0.8"
"展演活動策劃與製作業","其他","4.11"
"展演協力業","音樂製作","0"
"展演協力業","實體音樂銷售","0"
"展演協力業","歌曲授權及版權管理","0"
"展演協力業","數位音樂串流/下載","0"
"展演協力業","KTV與伴唱產品","0.08"
"展演協力業","演藝經紀","0"
"展演協力業","周邊商品","0"
"展演協力業","活動空間營運","0"
"展演協力業","活動策劃","7.62"
"展演協力業","活動製作/工程","89.31"
"展演協力業","票券銷售服務","0"
"展演協力業","其他文化內容領域","0.77"
"展演協力業","其他","2.23"
"展演空間業","音樂製作","1.33"
"展演空間業","實體音樂銷售","0"
"展演空間業","歌曲授權及版權管理","0"
"展演空間業","數位音樂串流/下載","0"
"展演空間業","KTV與伴唱產品","0"
"展演空間業","演藝經紀","0.83"
"展演空間業","周邊商品","0.87"
"展演空間業","活動空間營運","74.6"
"展演空間業","活動策劃","11.07"
"展演空間業","活動製作/工程","4.27"
"展演空間業","票券銷售服務","1.67"
"展演空間業","其他文化內容領域","1.43"
"展演空間業","其他","3.93"
"售票業","音樂製作","0"
"售票業","實體音樂銷售","0"
"售票業","歌曲授權及版權管理","0"
"售票業","數位音樂串流/下載","0"
"售票業","KTV與伴唱產品","0"
"售票業","演藝經紀","0"
"售票業","周邊商品","0.83"
"售票業","活動空間營運","2.03"
"售票業","活動策劃","14.17"
"售票業","活動製作/工程","1.67"
"售票業","票券銷售服務","64.97"
"售票業","其他文化內容領域","16.33"
"售票業","其他","0"
"KTV與伴唱產品業","音樂製作","0"
"KTV與伴唱產品業","實體音樂銷售","0"
"KTV與伴唱產品業","歌曲授權及版權管理","0"
"KTV與伴唱產品業","數位音樂串流/下載","0"
"KTV與伴唱產品業","KTV與伴唱產品","67.33"
"KTV與伴唱產品業","演藝經紀","0"
"KTV與伴唱產品業","周邊商品","1.33"
"KTV與伴唱產品業","活動空間營運","0"
"KTV與伴唱產品業","活動策劃","0"
"KTV與伴唱產品業","活動製作/工程","0"
"KTV與伴唱產品業","票券銷售服務","0"
"KTV與伴唱產品業","其他文化內容領域","0"
"KTV與伴唱產品業","其他","31.33"
