"展演活動收入結構","",""
"","",""
"1. 104年-107年調查對象為「演出經紀公司」與「演出製作公司」。
2. 104年－107年為票房收益，108年為票房收入；104年－107年為製作設計及硬體工程，108年為活動之軟硬體整合服務；104年－107年為線上直播/錄播，108年為線上演唱會。
3. 占比數據因採四捨五入法，故加總不為100％。
4. 請參照 104-107年展演活動收入結構
資料來源：107年產調、本調查
展演活動策劃與製作業者 N=23
產業內有執行活動之業者 N=64","",""
"C","C","R"
"","","%"
"","","1"
"業者別","分類","比例"
"展演活動策劃與製作業者","票房收入","30.61"
"展演活動策劃與製作業者","活動之軟硬體整合服務","30.98"
"展演活動策劃與製作業者","線上演唱會","0"
"展演活動策劃與製作業者","活動製作設計","24.97"
"展演活動策劃與製作業者","企業贊助","1.08"
"展演活動策劃與製作業者","周邊商品","1.52"
"展演活動策劃與製作業者","音樂培育","-"
"展演活動策劃與製作業者","設備出租","5.61"
"展演活動策劃與製作業者","其他","5.24"
"展演活動策劃與製作業者","票房收入","35.89"
"產業內有執行活動之業者","活動之軟硬體整合服務","21.44"
"產業內有執行活動之業者","線上演唱會","0.78"
"產業內有執行活動之業者","活動製作設計","18.5"
"產業內有執行活動之業者","企業贊助","2.02"
"產業內有執行活動之業者","周邊商品","2.22"
"產業內有執行活動之業者","音樂培育","-"
"產業內有執行活動之業者","設備出租","15.52"
"產業內有執行活動之業者","其他","3.63"
