,,,,,,,
,,,,,,,
,,,,,,,
T,C,C,C,R,R,R,R
年,,,,家,人,億元,億元
,,,,0,0,0,0
年度,產業別,主分類,次分類,家數,就業人數,產值,出口值
104,出版,圖書出版,圖書出版,793.0000,33355.0000,437.7500,─
104,出版,漫畫出版,漫畫出版,─,─,12.6000,─
104,出版,雜誌出版,雜誌出版,─,─,─,─
104,出版,數位出版,數位平臺,27.0000,─,─,─
104,出版,原創圖像,插畫經紀,─,─,─,─
104,出版,出版行銷通路,單一／獨立書店,884.0000,─,275.6700,─
104,出版,出版行銷通路,連鎖書店（總公司）,19.0000,,,
104,出版,出版行銷通路,網路書店（狹義）,8.0000,,,
104,出版,出版行銷通路,二手書店,─,,,
105,出版,圖書出版,圖書出版,517.0000,32656.0000,425.0100,─
105,出版,漫畫出版,漫畫出版,─,─,12.0400,─
105,出版,雜誌出版,雜誌出版,295.0000,─,144.9900,─
105,出版,數位出版,數位平臺,16.0000,─,11.5700,─
105,出版,原創圖像,插畫經紀,─,─,─,─
105,出版,出版行銷通路,單一／獨立書店,490.0000,─,237.1800,─
105,出版,出版行銷通路,連鎖書店（總公司）,32.0000,,,
105,出版,出版行銷通路,網路書店（狹義）,6.0000,,,
105,出版,出版行銷通路,二手書店,47.0000,,,
106,出版,圖書出版,圖書出版,542.0000,31729.0000,432.5000,7.6800
106,出版,漫畫出版,漫畫出版,12.0000,─,11.1500,4.1100
106,出版,雜誌出版,雜誌出版,─,─,─,─
106,出版,數位出版,數位平臺,6.0000,─,─,─
106,出版,原創圖像,插畫經紀,─,─,─,─
106,出版,出版行銷通路,單一／獨立書店,488.0000,─,225.9800,4.7700
106,出版,出版行銷通路,連鎖書店（總公司）,36.0000,,,
106,出版,出版行銷通路,網路書店（狹義）,8.0000,,,
106,出版,出版行銷通路,二手書店,38.0000,,,
107,出版,圖書出版,圖書出版,537.0000,37113.0000,407.7200,8.8500
107,出版,漫畫出版,漫畫出版,10.0000,─,10.2600,3.1300
107,出版,雜誌出版,雜誌出版,232.0000,─,129.1400,1.9000
107,出版,數位出版,數位平臺,6.0000,─,31.9500,0.3300
107,出版,原創圖像,插畫經紀,─,─,─,─
107,出版,出版行銷通路,單一／獨立書店,476.0000,─,214.4400,6.8600
107,出版,出版行銷通路,連鎖書店（總公司）,36.0000,,,
107,出版,出版行銷通路,網路書店（狹義）,8.0000,,,
107,出版,出版行銷通路,二手書店,76.0000,,,
108,出版,圖書出版,圖書出版,545.0000,13832.0000,388.4200,7.2700
108,出版,漫畫出版,漫畫出版,10.0000,,9.8600,2.6500
108,出版,雜誌出版,雜誌出版,238.0000,7283.0000,124.0800,1.2100
108,出版,數位出版,數位平臺,20.0000,1399.0000,41.5700,0.6700
108,出版,原創圖像,插畫經紀,19.0000,144.0000,1.3300,0.1000
108,出版,出版行銷通路,單一／獨立書店,517.0000,15831.0000,200.4000,5.8200
108,出版,出版行銷通路,連鎖書店（總公司）,42.0000,,,
108,出版,出版行銷通路,網路書店（狹義）,8.0000,,,
108,出版,出版行銷通路,二手書店,91.0000,,,
98,影視,電視產業,電視節目製作,780.0000,4546.0000,158.3100,2.2200
98,影視,電視產業,電視節目後製,14.0000,563.0000,7.2600,0.0000
98,影視,電視產業,電視節目發行,85.0000,541.0000,52.6800,0.2700
98,影視,電視產業,電視內容產業,879.0000,5650.0000,218.2500,2.4900
98,影視,電視產業,電視頻道,114.0000,13345.0000,480.9200,7.4800
98,影視,電視產業,電視平臺,63.0000,5567.0000,408.0700,0.5900
98,影視,電視產業,網路影音節目製作,─,,,
98,影視,電視產業,數位發行與播送,,,,
98,影視,電影產業,電影製作業,,,,
98,影視,電影產業,電影後製業,,,,
98,影視,電影產業,電影發行業,,,,
98,影視,電影產業,電影映演業,,,,
98,影視,廣播產業,廣播節目製作及發行,,,,
98,影視,廣播產業,廣播電臺經營,,,,
98,影視,動畫產業,核心內容產製,,,,
98,影視,動畫產業,國內發行平臺,,,,
99,影視,電視產業,電視節目製作,718.0000,4461.0000,180.6100,2.9900
99,影視,電視產業,電視節目後製,10.0000,619.0000,8.2500,0.0400
99,影視,電視產業,電視節目發行,74.0000,531.0000,56.8400,0.1300
99,影視,電視產業,電視內容產業,802.0000,5611.0000,245.7000,3.1600
99,影視,電視產業,電視頻道,117.0000,13303.0000,518.2500,8.7200
99,影視,電視產業,電視平臺,62.0000,5956.0000,440.4200,0.2400
99,影視,電視產業,網路影音節目製作,,,,
99,影視,電視產業,數位發行與播送,,,,
99,影視,電影產業,電影製作業,262.0000,452.0000,16.2500,0.1720
99,影視,電影產業,電影後製業,79.0000,406.0000,5.2800,0.0300
99,影視,電影產業,電影發行業,220.0000,434.0000,36.7600,0.6750
99,影視,電影產業,電影映演業,99.0000,2837.0000,63.0700,0.0090
99,影視,廣播產業,廣播節目製作及發行,─,─,─,─
99,影視,廣播產業,廣播電臺經營,─,─,─,─
99,影視,動畫產業,核心內容產製,─,─,─,─
99,影視,動畫產業,國內發行平臺,─,─,─,─
100,影視,電視產業,電視節目製作,749.0000,4531.0000,206.0100,2.8700
100,影視,電視產業,電視節目後製,8.0000,619.0000,8.7100,0.0000
100,影視,電視產業,電視節目發行,63.0000,539.0000,49.5500,0.1100
100,影視,電視產業,電視內容產業,820.0000,5689.0000,264.2700,2.9800
100,影視,電視產業,電視頻道,114.0000,13303.0000,550.8400,12.7200
100,影視,電視產業,電視平臺,64.0000,5956.0000,444.1400,0.3800
100,影視,電視產業,網路影音節目製作,─,─,─,─
100,影視,電視產業,數位發行與播送,─,─,─,─
100,影視,電影產業,電影製作業,326.0000,468.0000,24.9100,0.3380
100,影視,電影產業,電影後製業,75.0000,407.0000,5.7200,0.0380
100,影視,電影產業,電影發行業,203.0000,368.0000,42.1200,0.5280
100,影視,電影產業,電影映演業,97.0000,3079.0000,84.4500,0.0000
100,影視,廣播產業,廣播節目製作及發行,─,─,─,─
100,影視,廣播產業,廣播電臺經營,─,─,─,─
100,影視,動畫產業,核心內容產製,─,─,─,─
100,影視,動畫產業,國內發行平臺,─,─,─,─
101,影視,電視產業,電視節目製作,778.0000,4358.0000,229.2700,3.2400
101,影視,電視產業,電視節目後製,─,619.0000,8.8200,0.0000
101,影視,電視產業,電視節目發行,90.0000,465.0000,52.7100,0.0700
101,影視,電視產業,電視內容產業,868.0000,5442.0000,290.8000,3.3100
101,影視,電視產業,電視頻道,106.0000,14304.0000,536.1100,10.9100
101,影視,電視產業,電視平臺,72.0000,5793.0000,437.8000,0.3300
101,影視,電視產業,網路影音節目製作,─,─,─,─
101,影視,電視產業,數位發行與播送,─,─,─,─
101,影視,電影產業,電影製作業,392.0000,478.0000,26.3400,1.1680
101,影視,電影產業,電影後製業,79.0000,394.0000,6.1800,0.0350
101,影視,電影產業,電影發行業,214.0000,374.0000,53.3500,0.0770
101,影視,電影產業,電影映演業,95.0000,3166.0000,101.0500,0.0000
101,影視,廣播產業,廣播節目製作及發行,260.0000,─,35.6700,3.5000
101,影視,廣播產業,廣播電臺經營,171.0000,3554.0000,36.7100,0.9900
101,影視,廣播產業,網路廣播,─,─,─,─
101,影視,動畫產業,核心內容產製,─,─,─,─
101,影視,動畫產業,國內發行平臺,─,─,─,─
102,影視,電視產業,電視節目製作,712.0000,4287.0000,232.8900,4.0100
102,影視,電視產業,電視節目後製,─,619.0000,7.7400,0.0000
102,影視,電視產業,電視節目發行,82.0000,452.0000,42.7100,0.0900
102,影視,電視產業,電視內容產業,794.0000,5358.0000,283.3400,4.1000
102,影視,電視產業,電視頻道,110.0000,14774.0000,569.4000,13.5500
102,影視,電視產業,電視平臺,64.0000,5983.0000,464.8200,0.4000
102,影視,電視產業,網路影音節目製作,─,─,─,─
102,影視,電視產業,數位發行與播送,─,─,─,─
102,影視,電影產業,電影製作業,489.0000,488.0000,25.9300,1.3500
102,影視,電影產業,電影後製業,82.0000,405.0000,6.4300,0.0400
102,影視,電影產業,電影發行業,194.0000,370.0000,60.6100,0.1700
102,影視,電影產業,電影映演業,98.0000,3215.0000,108.7700,0.0000
102,影視,廣播產業,廣播節目製作及發行,244.0000,─,31.4100,4.4000
102,影視,廣播產業,廣播電臺經營,171.0000,3455.0000,40.2400,0.2500
102,影視,廣播產業,網路廣播,5.0000,─,─,─
102,影視,動畫產業,核心內容產製,─,─,─,─
102,影視,動畫產業,國內發行平臺,─,─,─,─
103,影視,電視產業,電視節目製作,693.0000,4062.0000,244.8200,5.5900
103,影視,電視產業,電視節目後製,─,619.0000,10.0000,0.0000
103,影視,電視產業,電視節目發行,77.0000,426.0000,43.9200,0.1100
103,影視,電視產業,電視內容產業,770.0000,5107.0000,298.7400,5.7000
103,影視,電視產業,電視頻道,113.0000,14463.0000,575.8900,16.4800
103,影視,電視產業,電視平臺,62.0000,5727.0000,473.1500,0.2800
103,影視,電視產業,網路影音節目製作,─,─,2.4900,0.0100
103,影視,電視產業,數位發行與播送,─,─,6.5600,0.0600
103,影視,電影產業,電影製作業,559.0000,408.0000,27.5600,1.4100
103,影視,電影產業,電影後製業,82.0000,417.0000,6.0300,0.1000
103,影視,電影產業,電影發行業,182.0000,385.0000,61.4100,0.4600
103,影視,電影產業,電影映演業,100.0000,3279.0000,115.5000,0.6200
103,影視,廣播產業,廣播節目製作及發行,248.0000,─,31.7800,1.3400
103,影視,廣播產業,廣播電臺經營,171.0000,7156.0000,38.4800,0.1900
103,影視,廣播產業,網路廣播,3.0000,─,─,─
103,影視,動畫產業,核心內容產製,─,─,─,─
103,影視,動畫產業,國內發行平臺,─,─,─,─
104,影視,電視產業,電視節目製作,669.0000,─,254.2700,4.5000
104,影視,電視產業,電視節目後製,─,─,─,─
104,影視,電視產業,電視節目發行,74.0000,─,52.8900,0.2000
104,影視,電視產業,電視內容產業,743.0000,4836.0000,307.1600,4.7000
104,影視,電視產業,電視頻道,115.0000,14933.0000,588.7600,11.1600
104,影視,電視產業,電視平臺,63.0000,6003.0000,489.8500,2.0100
104,影視,電視產業,網路影音節目製作,2.0000,─,2.9100,0.0700
104,影視,電視產業,數位發行與播送,2.0000,─,11.5000,0.0300
104,影視,電影產業,電影製作業,671.0000,401.0000,27.0840,3.2470
104,影視,電影產業,電影後製業,94.0000,429.0000,6.2110,0.2520
104,影視,電影產業,電影發行業,175.0000,427.0000,68.1410,2.8020
104,影視,電影產業,電影映演業,105.0000,3636.0000,128.0910,0.0000
104,影視,廣播產業,廣播節目製作及發行,245.0000,─,33.6600,2.1200
104,影視,廣播產業,廣播電臺經營,170.0000,7082.0000,35.4300,0.1800
104,影視,廣播產業,網路廣播,3.0000,─,─,─
104,影視,動畫產業,核心內容產製,─,─,─,─
