"企業自製及外包狀況","","","","","","",""
"","","","","","","",""
"1. 109年度調查新增題項，本題有效回覆家數共計91家。","","","","","","",""
"C","R","R","R","R","R","R","T"
"","%","%","%","%","%","%","年"
"","0","0","0","0","0","0","0"
"業務類型","無相關業務","全部自製(營)","大部分自製(營)","一半一半","大部分外包","全部外包","年度"
"企劃腳本","29.7","54.9","13.2","2.2","0","0","109"
"程式引擎","26.4","59.3","8.8","4.4","0","1.1","109"
"美術動畫","16.5","44","19.8","7.7","8.8","3.2","109"
"音效音樂","28.6","25.3","12.1","2.2","15.4","16.4","109"
"遊戲測試","13","68.5","9.8","6.5","1.1","1.1","109"
"遊戲營運","24.2","60.4","8.8","4.4","0","2.2","109"
"客服","24.2","57.1","6.6","2.2","2.2","7.7","109"
"遊戲行銷","17.4","52.2","17.4","5.4","3.3","4.3","109"
