總支出-產業別-支出項目,,,,,,,,,,
,,,,,,,,,,
"1. 109年度調查刪除製作/代工成本；新增推銷費用納入行銷廣告成本；刪除電子競技團隊成本；增加伺服器、網路專線成本。
2. 其他支出包括租金、素材、水電、代收款項等。",,,,,,,,,,
C,R,R,R,R,R,R,R,R,R,T
,%,%,%,%,%,%,%,%,%,年
,,,,,,,,,,0
廠商別,商品銷貨成本,研究發展費用成本,製作/代工成本,授權成本（含權利金）成本,行銷廣告成本/推銷費用,電子競技團隊成本,人事管理成本,伺服器、網路專線成本,其他成本,年度
整體遊戲廠商,19,22.9,0.7,19.9,18.2,0.3,15.5,-,3.5,108
遊戲開發,32.8,39.5,0.7,0.2,8.8,0.6,15.6,-,1.8,108
遊戲代理/發行,2.9,3.5,0.8,42.9,29.2,0,15.3,-,5.5,108
整體遊戲廠商,19.4,17.7,-,15.4,15.9,-,23.7,0.9,7,109
遊戲開發,26.6,33.4,-,3.5,21.7,-,14,0.2,0.6,109
遊戲代理/發行,14.7,7.6,-,23,12.2,-,30,1.3,11.2,109
