總支出-資本額級距-收入項目,,,,,,,,,,
,,,,,,,,,,
"1. 109年度調查刪除製作/代工成本；新增推銷費用納入行銷廣告成本；刪除電子競技團隊成本；增加伺服器、網路專線成本。
2. 其他支出包括租金、素材、水電、代收款項等。",,,,,,,,,,
C,R,R,R,R,R,R,R,R,R,T
,%,%,%,%,%,%,%,%,%,年
,,,,,,,,,,0
廠商別,商品銷貨成本,研究發展費用成本,製作/代工成本,授權成本（含權利金）成本,行銷廣告成本/推銷費用,電子競技團隊成本,人事管理成本,伺服器、網路專線成本,其他成本,年度
整體遊戲廠商,19,22.9,0.7,19.9,18.2,0.3,15.5,-,3.5,108
"資本額未滿5,000萬",0.3,30.2,4.1,0.4,30.4,0.7,33.6,-,0.2,108
"資本額5,000萬以上",19.4,22.8,0.7,20.3,18,0.3,15.1,-,3.6,108
整體遊戲廠商,19.4,17.7,-,15.4,15.9,-,23.7,0.9,7,109
"資本額未滿5,000萬",1.6,20.2,-,1.7,28.1,-,47.3,0.7,0.4,109
"資本額5,000萬以上",19.6,17.7,-,15.6,15.8,-,23.4,0.9,7,109
