營收-收入項目,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1. 109年度調查將手機遊戲軟體、電腦遊戲軟體、家用主機遊戲轉體、家用主機銷售整併為線上及遊戲收入；新增勞務技術服務納入製作/代工收入項目；增加遊戲點數收入；刪除周邊商品販售收入。
2. 其他收入包括代言、活動執行、實況主工商、電競培訓等。",,,,,,,,,,,,,
C,R,R,R,R,R,R,R,R,R,R,R,R,T
,%,%,%,%,%,%,%,%,%,%,%,%,年
,,,,,,,,,,,,,0
廠商別,手機遊戲軟體,電腦遊戲軟體,家用主機遊戲軟體,家用主機銷售,線上及遊戲收入,勞務技術服務/製作/代工收入,遊戲點數收入,授權收入(含權利金) 收入,行銷廣告收入,電子競技團隊收入,周邊商品販售收入,其他收入,年度
整體遊戲廠商,65.2,17.5,0.1,0,-,1.2,-,3.7,0.1,0.1,0.6,11.5,108
遊戲開發,49.9,32.9,0.1,0,-,1,-,6.7,0.2,0.2,0,8.9,108
遊戲代理/發行,82,0.5,0,0,-,1.3,-,0.5,0,0,1.3,14.3,108
整體遊戲廠商,-,-,-,-,60.9,17,7.9,8.1,0,0,-,6.1,109
遊戲開發,-,-,-,-,66.6,4.9,9.3,15.5,0,0,-,3.7,109
遊戲代理/發行,-,-,-,-,56.1,27.3,6.6,1.8,0,0,-,8.2,109
