"營收-產業別","","","","",""
"","","","","",""
"","","","","",""
"C","N","R","R","R","T"
"","","家","萬元新臺幣","萬元新臺幣","年"
"","","0","0","0","0"
"分類","產業別","企業家數","遊戲/電競收入","平均遊戲/電競收入","年度"
"遊戲產業","遊戲開發","46","2023887","43998","108"
"遊戲產業","遊戲代理/發行","52","2542825","48900","108"
"電競產業","電競場館","3","2","1","108"
"電競產業","電競戰隊","9","4025","447","108"
"電競產業","電競賽事","7","24166","3452","108"
"遊戲產業","遊戲開發","131","2540916","19396","109"
"遊戲產業","遊戲代理/發行","75","3259986","43466","109"
"電競產業","電競場館","-","-","-","109"
"電競產業","電競戰隊","14","7130","509","109"
"電競產業","電競賽事","11","25319","2301","109"
