營收-資本額級距-收入項目,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1. 109年度調查將手機遊戲軟體、電腦遊戲軟體、家用主機遊戲轉體、家用主機銷售整併為線上及遊戲收入；新增勞務技術服務納入製作/代工收入項目；增加遊戲點數收入；刪除周邊商品販售收入。
2. 其他收入包括代言、活動執行、實況主工商、電競培訓等。",,,,,,,,,,,,,
C,R,R,R,R,R,R,R,R,R,R,R,R,T
,%,%,%,%,%,%,%,%,%,%,%,%,年
,,,,,,,,,,,,,0
廠商別,手機遊戲軟體,電腦遊戲軟體,家用主機遊戲軟體,家用主機銷售,線上及遊戲收入,勞務技術服務/製作/代工收入,遊戲點數收入,授權收入(含權利金) 收入,行銷廣告收入,電子競技團隊收入,周邊商品販售收入,其他收入,年度
整體遊戲廠商,65.2,17.5,0.1,0,-,1.2,-,3.7,0.1,0.1,0.6,11.5,108
"資本額未滿5,000萬",41.7,3.3,0.7,0,-,21.4,-,0,6,3,0,23.9,108
"資本額5,000萬以上",65.7,17.8,0,0,-,0.7,-,3.8,0,0.1,0.6,11.2,108
整體遊戲廠商,-,-,-,-,60.9,17,7.9,8.1,0,0,-,6.1,109
"資本額未滿5,000萬",-,-,-,-,67.3,7.8,0,1.9,0.1,0,-,22.9,109
"資本額5,000萬以上",-,-,-,-,60.8,17.1,8,8.2,0,0,-,5.9,109
