"遊戲開發次領域","",""
"","",""
"1. 本題為複選題，故百分比加總大於100。
2. 108年度調查有遊戲開發業務的廠商共計53家。
3. 109年度調查有遊戲開發業務的廠商共計148家。","",""
"C","I","T"
"","家","年"
"","0","0"
"遊戲開發次領域","家數","年度"
"PC遊戲開發","27","108"
"手機遊戲開發","36","108"
"家用主機遊戲開發","15","108"
"腳本企劃服務","9","108"
"美術動畫服務","11","108"
"程式引擎服務","6","108"
"音效音樂服務","7","108"
"其他遊戲開發服務","7","108"
"PC遊戲開發","83","109"
"手機遊戲開發","107","109"
"家用主機遊戲開發","27","109"
"腳本企劃服務","23","109"
"美術動畫服務","52","109"
"程式引擎服務","26","109"
"音效音樂服務","23","109"
"其他遊戲開發服務","15","109"
