"遊戲電競產業廠商區域分布-依產業範疇分","","","","","",""
"","","","","","",""
"1. 業別依主要經營項目歸類。
2. 109年度調查未登記地址廠商共計8家。","","","","","",""
"C","R","R","R","R","R","T"
"","家","家","家","家","家","年"
"","0","0","0","0","0","0"
"地區分布","遊戲開發","遊戲代理/發行","電競場館","電競戰隊","電競賽事","年度"
"臺北市","34","45","2","8","7","108"
"新北市","5","6","0","1","0","108"
"桃園市","1","0","1","0","0","108"
"臺中市","4","0","0","0","0","108"
"高雄市","1","1","0","0","0","108"
"嘉義縣","1","0","0","0","0","108"
"臺北市","71","60","-","8","11","109"
"新北市","22","8","-","3","0","109"
"新竹縣","2","0","-","0","0","109"
"桃園市","5","0","-","0","0","109"
"臺中市","12","5","-","2","0","109"
"嘉義縣","1","0","-","0","0","109"
"臺南市","2","0","-","0","0","109"
"高雄市","8","1","-","0","0","109"
"屏東縣","0","1","-","0","0","109"
"基隆市","0","0","-","1","0","109"
