"遊戲電競產業廠商資本額級距分布-依產業範疇分","","","","","",""
"","","","","","",""
"業別依主要經營項目歸類。","","","","","",""
"C","R","R","R","R","R","T"
"","家","家","家","家","家","年"
"","0","0","0","0","0","0"
"資本額","遊戲開發","遊戲代理/發行","電競場館","電競戰隊","電競賽事","年度"
"未滿500萬元","19","20","3","5","2","108"
"500至4,999萬元","12","8","0","3","2","108"
"5,000至49,999萬元","6","14","0","1","3","108"
"50,000萬元以上","9","10","0","0","0","108"
"未滿500萬元","55","18","-","12","4","109"
"500至4,999萬元","45","17","-","2","2","109"
"5,000至49,999萬元","19","27","-","0","4","109"
"50,000萬元以上","12","13","-","0","1","109"
