"遊戲類型","","","",""
"","","","",""
"1. 本題為複選題，故百分比加總大於100。
2. 109年度調查有開發中遊戲的廠商共計56家；開發完成遊戲的廠商共計39家。
3. 109年度自製營運/代理/發行的遊戲數量共計192家。
4. 其他遊戲類型包括運動、競速、音樂/跳舞、戀愛養成、文字冒險等。","","","",""
"C","R","R","R","T"
"","%","%","%","年"
"","0","0","0","0"
"遊戲類型","開發中數量","開發完成數量","營運/代理/發行數量","年度"
"角色扮演","30","21","23","109"
"MOBA","2","0","0","109"
"射擊","6","5","21","109"
"即時戰略","1","1","0","109"
"策略模擬","13","8","22","109"
"格鬥遊戲","3","0","11","109"
"冒險解謎","9","11","9","109"
"卡牌遊戲","6","8","0","109"
"轉珠消除","3","1","0","109"
"休閒遊戲","17","12","3","109"
"限制級遊戲","3","3","0","109"
"棋牌益智類遊戲","6","5","87","109"
"其他","9","10","16","109"
