電競支出項目,,,,,,,,,,
,,,,,,,,,,
其他支出包括實況節目成本。,,,,,,,,,,
C,R,R,R,R,R,R,R,R,R,T
,%,%,%,%,%,%,%,%,%,年
,0,0,0,0,,,,,,0
廠商別,選手薪資福利支出,支援人員薪資福利支出,交通住宿成本,選手培訓成本,場地租借成本,電競設備成本,行銷廣告成本,其他行政雜支,其他成本占比,年度
整體電競廠商,30.1,13.4,28,0.7,5,6.3,3,13.2,0.3,108
電競場館,69.7,0,16.2,4,0,6.1,4,0,0,108
電競戰隊,55.5,5.8,10.8,0.2,0.6,3.2,0.3,23,0.7,108
電競賽事,2.9,21.6,45.5,1,9.5,9.4,5.5,4.6,0,108
整體電競廠商,29.8,22.6,4.2,10.1,3.6,3,4.1,22.3,0.3,109
電競場館,-,-,-,-,-,-,-,-,-,109
電競戰隊,38.1,16.2,3.1,11.3,3.1,2.8,1.2,23.7,0.5,109
電競賽事,7.6,39.5,7,7,4.9,3.6,11.8,18.6,0,109
