電競收入項目,,,,,,,,,,,,
,,,,,,,,,,,,
其他收入包括代言、活動執行、實況主工商、電競培訓、電競講師等。,,,,,,,,,,,,
C,R,R,R,R,R,R,R,R,R,R,R,T
,%,%,%,%,%,%,%,%,%,%,%,年
,0,0,0,0,,,,,,,,0
收入項目,選手經紀收入,贊助收入,獎金收入,媒體版權,周邊商品與門票,遊戲發行開發商補貼,直播收入,場地租借收入,行銷廣告收入,活動工商收入,其他收入,年度
整體電競廠商,0,14.9,6.2,0,1.8,23.3,3.1,9.7,15,-,26.2,108
電競場館,0,0,0,0,0,0,0,100,0,-,0,108
電競戰隊,0,24.4,29.2,0,8.3,13,13.9,0,2.1,-,9.1,108
電競賽事,0,12.4,0.1,0,0,26,0.2,12.3,18.4,-,30.7,108
整體電競廠商,12.8,11.1,8.5,1.3,13.1,2.6,22.7,0.5,5.2,5,17.2,109
電競場館,-,-,-,-,-,-,-,-,-,,-,109
電競戰隊,16.2,3.3,9.4,1.6,16.5,1.9,27.5,0.3,6.1,2.6,14.6,109
電競賽事,0,40.9,5.1,0.2,0,5.3,4.3,1.1,1.9,14.3,26.9,109
