"電競賽事主辦狀況","","",""
"","","",""
"1. 108年度調查有舉辦比賽廠商共計13家；有經營戰隊業務廠商共計10家。
2. 本題為複選題。
3. 108年度調查其他舉辦比賽的遊戲包括PUBGM、CytusII、皇室戰爭、NAB2K、跑跑卡丁車、極速領域等。
4. 108年度調查其他參加比賽的遊戲包括SF2、皇室戰爭、鐵拳七、快打旋風V等。
5. 109年度調查已刪除此題項。","","",""
"N","I","I","T"
"","家","家","年"
"","0","0","0"
"遊戲名稱","舉辦比賽","參加比賽","年度"
"英雄聯盟","4","9","108"
"爐石戰記","1","1","108"
"絕地求生","3","3","108"
"星海爭霸II","1","1","108"
"虹彩六號","2","1","108"
"傳說對決","4","10","108"
"DOTA2","1","0","108"
"CS：GO","1","2","108"
"鬥陣特攻","1","1","108"
"其他","6","2","108"
